Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Luka Doncic,PG,DAL,vs BKN,30th,115.00,10800,36.2,89.8,53.4,8.9,1.65,59.47,15.05,15.30,14.74,37.6,19.7,32.3,35.25,59.17,59.17,100,,71,5.5,Y,34,56.10,5.2
Karl-Anthony Towns,C,MIN,vs GSW,13th,106.75,10000,0,24.5,51.1,4.4,1.51,54.28,14.56,12.25,0,28.2,17.5,33.9,0.00,0.00,0.00,100,,76,0,,,,
Andre Drummond,C,DET,@ LAC,26th,105.75,9800,29.9,76.8,48.9,2.8,1.45,52.10,10.65,13.41,10.43,25.1,13.7,33.8,35.25,50.01,50.01,100,,73,5.1,Y,27,32.40,3.3
Kawhi Leonard,PF,LAC,vs DET,14th,117.75,9500,38.3,68.6,46.2,5.2,1.44,52.03,11.28,8.65,10.97,33.7,19.7,32.0,35.00,51.29,51.29,100,,81,5.4,Y,25,40.70,4.3
Nikola Jokic,C,DEN,@ IND,25th,104.75,9200,25.8,64.2,42.0,6.7,1.35,48.50,9.40,10.95,8.42,25.1,14.4,31.2,32.25,42.26,42.26,100,,74,4.6,Y,24,28.40,3.1
Bam Adebayo,PF,MIA,vs TOR,3rd,109.50,8800,24.4,64.4,40.3,4.6,1.17,42.18,9.53,11.42,9.46,19.8,10.4,34.4,35.75,41.54,41.54,100,,72,4.7,Y,35,33.80,3.8
Rudy Gobert,C,UTA,@ CHI,28th,105.75,8800,24.5,62.6,39.6,1.5,1.15,41.35,9.93,10.89,9.79,16.5,8.4,34.5,35.50,40.79,40.79,100,,73,4.6,Y,35,38.40,4.4
Pascal Siakam,SF,TOR,@ MIA,19th,104.50,8700,0,19.7,43.2,3.6,1.18,42.43,10.12,9.87,0,29.5,20.5,36.7,0.00,0.00,0.00,100,,77,0,,,,
Jimmy Butler,SG,MIA,vs TOR,6th,109.50,8700,31,62.3,43.8,6.6,1.24,44.54,9.14,8.95,9.2,25.3,13.8,35.4,36.25,44.38,44.38,100,,80,5.1,Y,34,35.90,4.1
D'Angelo Russell,SG,GSW,@ MIN,22nd,104.75,8400,0,30.1,37.0,6.0,1.18,42.55,12.80,15.06,0,31.3,18.8,31.3,0.00,0.00,0.00,100,,59,0,,,,
Kristaps Porzingis,PF,DAL,vs BKN,3rd,115.00,8400,0,22.6,37.1,1.5,1.19,42.70,11.27,11.28,0,25.6,15.2,31.3,0.00,0.00,0.00,100,,70,0,,,,
Kyrie Irving,PG,BKN,@ DAL,2nd,108.00,8400,0,25.3,48.3,7.2,1.43,51.42,10.90,12.67,0,32.4,22.9,33.8,0.00,0.00,0.00,100,,74,0,,,,
Spencer Dinwiddie,PG,BKN,@ DAL,2nd,108.00,8400,25.3,64.3,36.8,6.3,1.19,42.69,8.70,11.14,8.58,31.5,17.8,31.0,35.50,42.03,42.03,100,,70,5,Y,23,27.90,3.3
LaMarcus Aldridge,PF,SAS,vs OKC,7th,109.50,8300,19.7,60.2,38.6,2.5,1.17,42.03,12.50,11.58,11.2,23.5,15.4,33.1,32.25,37.03,37.03,100,,70,4.5,Y,33,43.20,5.2
Fred VanVleet,SG,TOR,@ MIA,7th,104.50,8200,22.1,60.9,37.3,6.9,1.03,37.09,8.85,11.08,9.28,22.6,14.8,36.2,37.75,38.72,38.72,100,,70,4.7,Y,39,22.80,2.8
Domantas Sabonis,PF,IND,vs DEN,28th,103.75,8000,26.7,54.7,40.8,4.0,1.20,43.08,9.68,8.00,9.01,23.6,13.8,34.1,33.50,38.71,38.71,100,,80,4.8,Y,38,49.30,6.2
Paul George,SF,LAC,vs DET,14th,117.75,8000,25.8,72.4,39.5,3.8,1.25,45.10,17.49,13.32,17.25,31.3,18.3,31.5,35.50,45.76,45.76,100,,66,5.7,Y,16,19.10,2.4
Zach LaVine,SG,CHI,vs UTA,25th,102.75,7900,20.1,59.2,36.4,3.9,1.09,39.39,11.81,11.16,11.48,30.7,18.5,33.3,35.00,36.86,36.86,100,,69,4.7,Y,39,40.30,5.1
Kyle Lowry,PG,TOR,@ MIA,7th,104.50,7800,26.6,55.9,39.3,7.5,1.03,37.11,5.95,8.38,6.28,22.7,14.7,38.1,38.00,39.15,39.15,100,,79,5,Y,40,33.80,4.3
Devonte' Graham,SG,CHA,@ CLE,29th,105.00,7700,23.4,57,35.6,7.7,1.02,36.85,9.59,9.61,9.86,25.6,15.9,34.8,37.00,37.80,37.80,100,,73,4.9,Y,41,32.70,4.2
