Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Giannis Antetokounmpo,SF,MIL,vs MIA,21st,117.00,12300,56.9,56.9,65.1,11.0,2.33,83.70,0.00,0.00,0,36.1,17.0,28.0,32.50,56.87,56.87,100,,0,4.6,Y,37,69.90,5.7
James Harden,SG,HOU,vs NOP,2nd,125.25,11500,58.9,58.9,47.4,14.0,1.32,47.40,0.00,0.00,0,28.8,13.0,36.0,35.25,58.85,58.85,100,,0,5.1,Y,36,36.30,3.2
Joel Embiid,C,PHI,@ DET,16th,109.00,11000,0,0,44.1,3.0,1.92,69.03,0.00,0.00,0,31.6,14.0,23.0,0.00,0.00,0.00,100,,0,0,,,,
Andre Drummond,C,DET,vs PHI,6th,105.00,10800,25.8,82.1,65.5,2.0,1.68,60.46,11.79,16.10,12.12,24.2,15.0,39.0,37.00,49.90,49.90,100,,0,4.6,Y,25,32.90,3
Russell Westbrook,PG,HOU,vs NOP,7th,125.25,10200,55.2,55.2,59.7,7.0,1.81,65.13,0.00,0.00,0,29.8,17.0,33.0,34.75,55.15,55.15,100,,0,5.4,Y,34,58.50,5.7
Kawhi Leonard,SF,LAC,@ PHX,3rd,117.75,9800,38.1,52.4,43.6,7.0,1.65,59.23,7.03,4.10,6.25,41.4,18.0,26.5,32.00,44.20,44.20,100,,0,4.5,Y,32,60.60,6.2
Ben Simmons,PG,PHI,@ DET,23rd,109.00,9600,42,42,43.1,9.0,1.23,44.33,0.00,0.00,0,26.3,16.0,35.0,34.75,42.03,42.03,100,,0,4.4,Y,35,48.80,5.1
Paul George,SF,LAC,@ PHX,3rd,117.75,9600,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Bradley Beal,SG,WAS,@ SAS,4th,104.25,9500,29.3,55.5,39.2,6.0,1.17,42.13,9.97,7.50,9.69,33.9,23.5,33.5,35.00,40.50,40.50,100,,0,4.3,Y,38,47.50,5
Rudy Gobert,C,UTA,vs SAC,7th,115.00,9500,40.6,46.7,24.6,1.5,0.70,25.25,3.99,1.75,3.66,15.0,7.0,35.0,33.00,43.20,43.20,100,,0,4.5,Y,25,15.20,1.6
Julius Randle,PF,NYK,vs BOS,22nd,106.75,9100,19.3,68.3,41.2,5.0,1.11,40.09,15.83,14.00,14.84,25.2,16.5,37.0,33.75,40.27,40.27,100,,0,4.4,Y,30,24.50,2.7
Devin Booker,SG,PHX,vs LAC,30th,107.75,9100,37.3,45.9,37.0,8.5,1.01,36.44,7.02,2.45,7.02,26.1,19.0,36.5,36.00,41.00,41.00,100,,0,4.5,Y,38,45.20,5
Trae Young,PG,ATL,vs ORL,21st,107.25,9000,38.7,38.7,56.9,9.0,1.54,55.36,0.00,0.00,0,38.7,21.0,37.0,34.50,38.65,38.65,100,,0,4.3,Y,36,61.90,6.9
Blake Griffin,PF,DET,vs PHI,13th,105.00,8900,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Nikola Vucevic,C,ORL,@ ATL,10th,109.25,8900,45,45,39.5,3.0,1.16,41.82,0.00,0.00,0,25.2,16.0,34.0,32.00,44.96,44.96,100,,0,5.1,Y,31,33.50,3.8
Jimmy Butler,SG,MIA,@ MIL,18th,106.00,8800,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Pascal Siakam,SF,TOR,@ CHI,12th,111.00,8800,21,58.7,51.4,3.5,1.39,49.96,9.12,10.75,9.12,34.4,24.0,37.0,36.00,37.17,37.17,100,,0,4.2,Y,28,31.20,3.5
Jrue Holiday,SG,NOP,@ HOU,19th,113.25,8800,0,3,29.3,7.0,0.79,28.51,4.60,1.50,0,17.2,13.0,37.0,0.00,0.00,0.00,100,,0,0,,,,
Clint Capela,C,HOU,vs NOP,1st,125.25,8600,39.4,39.4,39.4,0.0,1.27,45.75,0.00,0.00,0,16.2,10.0,31.0,32.75,39.35,39.35,100,,0,4.6,Y,25,32.20,3.7
Deandre Ayton,C,PHX,vs LAC,18th,107.75,8600,0,0,46.2,0.0,1.40,50.40,0.00,0.00,0,17.0,14.0,33.0,0.00,0.00,0.00,100,,0,0,,,,
Donovan Mitchell,SG,UTA,vs SAC,19th,115.00,8500,32.4,45.3,49.2,3.0,1.41,50.61,2.36,3.70,2.23,29.3,18.5,35.0,34.00,37.94,37.94,100,,0,4.5,Y,26,24.20,2.8
Kevin Love,PF,CLE,vs IND,26th,104.75,8400,36.7,36.7,38.1,3.0,1.06,38.10,0.00,0.00,0,15.4,9.0,36.0,31.75,36.66,36.66,100,,0,4.4,Y,33,52.10,6.2
John Collins,PF,ATL,vs ORL,19th,107.25,8300,37,37,40.5,1.0,1.35,48.60,0.00,0.00,0,22.8,15.0,30.0,32.50,37.02,37.02,100,,0,4.5,Y,33,34.90,4.2
Kemba Walker,PG,BOS,@ NYK,8th,111.75,8200,20,68.7,28.3,2.0,0.81,29.11,13.48,13.90,12.73,27.8,20.0,35.0,34.00,40.89,40.89,100,,0,5,Y,30,50.00,6.1
Lauri Markkanen,PF,CHI,vs TOR,28th,108.00,8200,8,70.5,42.6,2.5,1.29,46.42,18.08,17.85,16.7,30.1,20.0,33.0,33.25,34.81,34.81,100,,0,4.2,Y,30,23.90,2.9
LaMarcus Aldridge,PF,SAS,vs WAS,21st,115.25,8100,40.6,40.6,35.1,1.0,1.00,36.10,0.00,0.00,0,24.3,15.0,35.0,33.50,40.57,40.57,100,,0,5,Y,33,45.30,5.6
De'Aaron Fox,PG,SAC,@ UTA,20th,106.00,8100,17.7,66.7,25.7,5.0,0.84,30.33,13.22,14.00,12.49,26.4,12.5,30.5,34.00,38.68,38.68,100,,0,4.8,Y,20,17.70,2.2
Domantas Sabonis,PF,IND,@ CLE,18th,108.75,8000,40.6,40.6,43.6,2.0,1.21,43.60,0.00,0.00,0,22.3,15.0,36.0,33.00,40.56,40.56,100,,0,5.1,Y,33,24.00,3
Zach LaVine,SG,CHI,vs TOR,15th,108.00,8000,19.7,59.1,49.0,5.5,1.56,55.94,10.22,11.25,9.65,32.8,20.0,31.5,34.00,36.59,36.59,100,,0,4.6,Y,30,16.20,2
DeMar DeRozan,SG,SAS,vs WAS,24th,115.25,7900,38.4,38.4,22.8,4.0,0.71,25.65,0.00,0.00,0,23.6,10.0,32.0,33.50,38.37,38.37,100,,0,4.9,Y,36,43.30,5.5
Marvin Bagley III,PF,SAC,@ UTA,20th,106.00,7900,0,0,31.0,0.0,1.11,39.86,0.00,0.00,0,25.8,16.0,28.0,0.00,0.00,0.00,100,,0,0,,,,
Mike Conley,PG,UTA,vs SAC,18th,115.00,7700,30.7,39.1,15.9,4.0,0.55,19.74,1.63,2.40,1.38,29.5,13.5,29.0,30.50,34.30,34.30,100,,0,4.5,Y,24,25.60,3.3
Khris Middleton,SG,MIL,vs MIA,12th,117.00,7600,34.2,34.2,29.1,3.0,0.88,31.75,0.00,0.00,0,22.2,16.0,33.0,32.25,34.17,34.17,100,,0,4.5,Y,37,35.30,4.6
Myles Turner,C,IND,@ CLE,18th,108.75,7600,38.4,38.4,46.8,0.0,1.23,44.34,0.00,0.00,0,22.4,15.0,38.0,33.00,38.37,38.37,100,,0,5,Y,40,25.70,3.4
Kyle Lowry,PG,TOR,@ CHI,6th,111.00,7600,31.5,44.2,42.7,6.5,1.00,36.13,5.24,3.65,5.31,22.1,16.5,42.5,36.50,36.94,36.94,100,,0,4.9,Y,34,35.40,4.7
Bam Adebayo,PF,MIA,@ MIL,15th,106.00,7500,32.2,32.2,29.7,3.0,1.24,44.55,0.00,0.00,0,26.6,7.0,24.0,30.50,32.21,32.21,100,,0,4.3,Y,38,46.60,6.2
Jayson Tatum,PF,BOS,@ NYK,6th,111.75,7500,24.6,47,44.4,3.0,1.23,44.40,7.64,6.40,7.37,28.7,22.0,36.0,34.75,34.20,34.20,100,,0,4.6,Y,34,38.80,5.2
Brandon Ingram,SF,NOP,@ HOU,8th,113.25,7400,27.6,32.2,43.8,4.0,1.33,47.78,4.33,1.30,3.85,27.3,19.5,33.0,32.00,29.57,29.57,100,,0,4,Y,39,57.50,7.8
Tobias Harris,SF,PHI,@ DET,9th,109.00,7300,35.4,35.4,41.0,4.0,1.08,38.84,0.00,0.00,0,17.3,11.0,38.0,35.25,35.36,35.36,100,,0,4.8,Y,35,41.90,5.7
Thomas Bryant,C,WAS,@ SAS,27th,104.25,7200,18.6,56.2,39.5,2.5,1.27,45.81,12.48,10.75,11.01,21.6,12.5,31.0,31.75,34.68,34.68,100,,0,4.8,Y,30,23.90,3.3
Aaron Gordon,PF,ORL,@ ATL,2nd,109.25,7000,31.1,31.1,23.9,3.0,0.82,29.67,0.00,0.00,0,17.9,8.0,29.0,32.25,31.12,31.12,100,,0,4.4,Y,30,27.90,4
Buddy Hield,SG,SAC,@ UTA,22nd,106.00,7000,27.8,39.2,28.8,1.5,0.91,32.86,4.24,3.25,3.89,30.0,18.5,31.5,33.00,32.66,32.66,100,,0,4.7,Y,20,4.40,0.6
Ricky Rubio,PG,PHX,vs LAC,29th,107.75,7000,0,9.6,37.9,10.0,1.15,41.35,9.07,4.80,0,20.5,9.5,33.0,0.00,0.00,0.00,100,,0,0,,,,
Montrezl Harrell,C,LAC,@ PHX,4th,117.75,7000,30,48.8,29.1,3.5,0.92,33.20,0.77,5.35,0.64,25.5,10.0,31.5,30.00,38.06,38.06,100,,0,5.4,,32,44.40,6.3
Eric Bledsoe,PG,MIL,vs MIA,14th,117.00,6900,33.2,33.2,14.2,2.0,0.89,31.95,0.00,0.00,0,34.2,12.0,16.0,29.25,33.17,33.17,100,,0,4.8,Y,33,21.40,3.1
Malcolm Brogdon,PG,IND,@ CLE,16th,108.75,6900,31.1,31.1,43.1,11.0,1.20,43.10,0.00,0.00,0,23.1,13.0,36.0,33.00,31.12,31.12,100,,0,4.5,Y,35,52.40,7.6
Lou Williams,SG,LAC,@ PHX,5th,117.75,6900,37,40.7,39.6,7.5,1.20,43.15,6.47,1.05,5.53,22.8,12.5,33.0,30.75,38.56,38.56,100,,0,5.6,,29,23.40,3.4
Gordon Hayward,SF,BOS,@ NYK,6th,111.75,6800,24.1,38.8,28.8,2.0,0.80,28.80,5.00,4.20,4.72,20.7,13.5,36.0,34.00,30.36,30.36,100,,0,4.5,Y,27,19.70,2.9
Mitchell Robinson,C,NYK,vs BOS,14th,106.75,6800,27.3,27.3,27.9,1.0,1.64,59.08,0.00,0.00,0,16.6,4.0,17.0,23.00,27.33,27.33,100,,0,4,Y,20,32.20,4.7
Al Horford,PF,PHI,@ DET,16th,109.00,6700,34.8,34.8,24.9,3.0,0.80,28.92,0.00,0.00,0,22.2,13.0,31.0,31.50,34.78,34.78,100,,0,5.2,Y,34,44.30,6.6
Lonzo Ball,PG,NOP,@ HOU,19th,113.25,6700,18.5,45.8,28.3,5.0,0.98,35.13,4.93,7.80,4.35,18.2,11.5,29.0,31.75,30.21,30.21,100,,0,4.5,Y,36,44.40,6.6
Fred VanVleet,SG,TOR,@ CHI,6th,111.00,6600,7.7,59.3,39.8,6.5,0.93,33.28,11.58,14.75,11.5,17.5,14.5,43.0,35.75,29.84,29.84,100,,0,4.5,Y,31,29.80,4.5
Justise Winslow,SF,MIA,@ MIL,20th,106.00,6500,31.5,31.5,48.9,7.0,1.32,47.58,0.00,0.00,0,29.5,21.0,37.0,34.50,31.50,31.50,100,,0,4.8,Y,41,36.10,5.6
RJ Barrett,SG,NYK,vs BOS,11th,106.75,6500,26.4,33.5,35.1,2.5,0.96,34.57,2.50,2.05,2.36,22.4,14.5,36.5,34.00,29.43,29.43,100,,0,4.5,Y,37,33.90,5.2
Wendell Carter Jr.,C,CHI,vs TOR,21st,108.00,6500,27.3,29.7,24.1,0.0,0.86,30.99,0.21,0.70,0.17,13.7,7.5,28.0,28.50,28.33,28.33,100,,0,4.4,Y,23,24.20,3.7
Otto Porter,SF,CHI,vs TOR,15th,108.00,6500,15.7,37.2,15.8,0.5,0.64,23.14,5.85,6.15,4.27,14.8,8.0,24.5,26.25,24.88,24.88,100,,0,3.8,Y,20,17.30,2.7
Dejounte Murray,PG,SAS,vs WAS,26th,115.25,6500,34.5,34.5,41.6,6.0,1.73,62.40,0.00,0.00,0,25.6,10.0,24.0,26.00,34.48,34.48,100,,0,5.3,Y,23,45.00,6.9
Derrick Favors,C,NOP,@ HOU,20th,113.25,6400,23.6,34.1,22.4,2.0,1.04,37.51,4.15,3.00,2.68,17.2,8.0,21.5,23.25,28.11,28.11,100,,0,4.4,Y,18,12.00,1.9
Kelly Oubre Jr.,SF,PHX,vs LAC,30th,107.75,6400,31.6,32.9,40.0,1.5,1.19,42.93,4.92,0.35,4.51,23.1,14.5,33.5,33.00,32.15,32.15,100,,0,5,Y,22,38.50,6
Jonathan Isaac,SF,ORL,@ ATL,4th,109.25,6300,25.6,25.6,22.6,2.0,0.94,33.90,0.00,0.00,0,11.0,3.0,24.0,29.25,25.61,25.61,100,,0,4.1,Y,25,26.80,4.3
Larry Nance Jr.,SF,CLE,vs IND,28th,104.75,6300,26.2,26.2,27.8,2.0,1.03,37.07,0.00,0.00,0,25.5,11.0,27.0,25.50,26.23,26.23,100,,0,4.2,,19,18.30,2.9
Serge Ibaka,PF,TOR,@ CHI,12th,111.00,6300,19.5,40.7,25.1,0.5,1.00,36.07,10.17,6.05,7.2,18.8,7.5,25.0,25.50,28.60,28.60,100,,0,4.5,,21,33.40,5.3
Marc Gasol,C,TOR,@ CHI,20th,111.00,6200,27.6,29,11.9,3.0,0.42,15.03,1.36,0.40,1.01,15.7,8.5,28.5,26.75,28.17,28.17,100,,0,4.5,Y,23,23.00,3.7
Josh Richardson,SG,PHI,@ DET,29th,109.00,6100,29.8,29.8,34.2,2.0,1.04,37.31,0.00,0.00,0,22.6,12.0,33.0,34.00,29.84,29.84,100,,0,4.9,Y,37,23.20,3.8
Tristan Thompson,C,CLE,vs IND,29th,104.75,6000,29.3,29.3,32.7,1.0,0.99,35.67,0.00,0.00,0,15.8,11.0,33.0,30.25,29.25,29.25,100,,0,4.9,Y,35,49.60,8.3
T.J. Warren,SF,IND,@ CLE,5th,108.75,5900,30.3,30.3,13.2,0.0,0.39,13.98,0.00,0.00,0,17.1,12.0,34.0,33.25,30.30,30.30,100,,0,5.1,Y,37,12.40,2.1
Collin Sexton,PG,CLE,vs IND,22nd,104.75,5900,23.1,23.1,18.4,2.0,0.61,22.08,0.00,0.00,0,28.6,15.0,30.0,31.50,23.10,23.10,100,,0,3.9,Y,30,26.50,4.5
Jeremy Lamb,SG,IND,@ CLE,16th,108.75,5900,0,0,20.3,3.0,0.78,28.11,0.00,0.00,0,23.1,11.0,26.0,0.00,0.00,0.00,100,,0,0,,,,
Brook Lopez,C,MIL,vs MIA,22nd,117.00,5800,27.3,27.3,32.9,3.0,1.22,43.87,0.00,0.00,0,14.9,9.0,27.0,28.00,27.29,27.29,100,,0,4.7,Y,35,22.90,3.9
Alex Len,C,ATL,vs ORL,17th,107.25,5800,26.1,26.1,20.7,1.0,0.86,31.05,0.00,0.00,0,12.7,5.0,24.0,24.75,26.06,26.06,100,,0,4.5,Y,20,10.30,1.8
Goran Dragic,PG,MIA,@ MIL,16th,106.00,5700,25.9,25.9,32.1,3.0,1.28,46.22,0.00,0.00,0,27.1,9.0,25.0,28.00,25.89,25.89,100,,0,4.5,,35,45.20,7.9
Derrick Rose,SG,DET,vs PHI,10th,105.00,5700,26.8,29.2,30.4,6.0,1.17,42.09,0.65,0.70,0.49,33.5,13.5,26.0,27.25,27.84,27.84,100,,0,4.9,,27,48.10,8.4
Enes Kanter,C,BOS,@ NYK,9th,111.75,5700,0,0,22.2,2.0,0.89,31.97,0.00,0.00,0,18.5,8.0,25.0,0.00,0.00,0.00,100,,0,0,,,,
Elfrid Payton,PG,NYK,vs BOS,5th,106.75,5700,7.2,50.3,28.1,5.0,1.12,40.46,16.12,12.30,11.75,17.9,9.5,25.0,26.25,25.67,25.67,100,,0,4.5,Y,31,28.30,5
Evan Fournier,SG,ORL,@ ATL,4th,109.25,5600,23.9,23.9,28.6,4.0,1.02,36.77,0.00,0.00,0,27.0,13.0,28.0,30.00,23.91,23.91,100,,0,4.3,Y,30,30.60,5.5
Marcus Morris,SF,NYK,vs BOS,11th,106.75,5500,10.1,53.7,27.9,0.5,0.78,27.85,10.20,12.45,9.21,18.2,13.5,36.0,32.50,28.76,28.76,100,,0,5.2,Y,29,20.90,3.8
Jaylen Brown,SG,BOS,@ NYK,11th,111.75,5500,8.2,57.9,32.6,2.0,1.11,39.78,6.40,14.20,5.87,19.1,13.0,29.5,33.00,29.49,29.49,100,,0,5.4,Y,27,30.80,5.6
Rudy Gay,SF,SAS,vs WAS,22nd,115.25,5500,23.5,23.5,27.7,3.0,1.39,49.86,0.00,0.00,0,28.4,9.0,20.0,22.25,23.53,23.53,100,,0,4.3,,27,27.80,5.1
Derrick White,PG,SAS,vs WAS,26th,115.25,5400,21.3,21.3,13.9,3.0,0.63,22.75,0.00,0.00,0,18.6,6.0,22.0,22.75,21.33,21.33,100,,0,4,,20,14.20,2.6
Ishmael Smith,PG,WAS,@ SAS,25th,104.25,5400,22.4,23.6,17.3,4.5,0.61,21.79,3.98,0.35,3.18,14.4,8.5,28.5,28.75,22.90,22.90,100,,0,4.2,Y,29,33.00,6.1
Rui Hachimura,PF,WAS,@ SAS,27th,104.25,5400,23.7,30.7,28.0,1.0,0.93,33.60,3.29,2.00,2.7,25.4,17.5,30.0,29.50,26.73,26.73,100,,0,5,Y,38,34.10,6.3
Tyler Herro,SG,MIA,@ MIL,18th,106.00,5300,28.3,28.3,30.1,1.0,0.89,31.87,0.00,0.00,0,17.7,14.0,34.0,31.25,28.28,28.28,100,,0,5.3,Y,32,17.00,3.2
Darius Garland,PG,CLE,vs IND,22nd,104.75,5300,20.2,20.2,17.9,5.0,0.56,20.14,0.00,0.00,0,16.3,9.0,32.0,30.75,20.17,20.17,100,,0,3.8,Y,29,18.20,3.4
Bojan Bogdanovic,SF,UTA,vs SAC,19th,115.00,5300,24.3,24.3,22.6,0.0,0.94,33.90,0.00,0.00,0,27.9,14.0,24.0,28.50,24.32,24.32,100,,0,4.6,Y,24,34.30,6.5
Bogdan Bogdanovic,SG,SAC,@ UTA,22nd,106.00,5300,9,48.1,17.6,2.5,0.69,24.78,12.58,11.15,9.78,19.9,10.5,25.5,28.00,25.75,25.75,100,,0,4.9,,24,15.40,2.9
Reggie Jackson,PG,DET,vs PHI,10th,105.00,5200,0,1.6,13.5,4.0,0.77,27.77,5.73,0.80,0,16.9,5.5,17.5,0.00,0.00,0.00,100,,0,0,,,,
Bobby Portis,C,NYK,vs BOS,22nd,106.75,5200,1.4,42.5,17.2,2.5,0.80,28.72,6.04,11.75,3.1,15.3,6.0,21.5,18.50,18.99,18.99,100,,0,3.7,,27,23.70,4.6
Joe Ingles,SF,UTA,vs SAC,27th,115.00,5200,22.9,27.6,11.0,2.5,0.36,12.92,0.54,1.35,0.43,9.4,5.0,30.5,28.50,24.94,24.94,100,,0,4.8,,25,25.30,4.9
Luke Kennard,SF,DET,vs PHI,14th,105.00,5100,12.2,32,30.0,2.5,1.02,36.55,8.78,5.65,7.01,24.9,12.5,29.5,28.75,20.68,20.68,100,,0,4.1,,32,20.20,4
De'Andre Hunter,SF,ATL,vs ORL,24th,107.25,5100,18,18,14.4,0.0,0.58,20.74,0.00,0.00,0,19.3,8.0,25.0,26.25,17.99,17.99,100,,0,3.5,Y,22,14.10,2.8
