Player Name,Pos,Salary,Team,Proj FP,Actual FP
Luka Doncic,PG,11600,DAL,51.7,55.3
Giannis Antetokounmpo,PF,11300,MIL,52.4,41.3
Karl-Anthony Towns,C,10800,MIN,0.0,0.0
LeBron James,SF,9900,LAL,46.9,47.1
Andre Drummond,C,9800,CLE,48.9,75.1
Anthony Davis,PF,9800,LAL,47.2,49.7
Kawhi Leonard,SF,9600,LAC,48.6,42.8
Nikola Vucevic,C,9400,ORL,45.9,33.2
Julius Randle,PF,9100,NYK,45.2,43.2
Jaylen Brown,SF,9000,BOS,43.5,36.4
Zach LaVine,SG,9000,CHI,43.0,49.4
Paul George,SG,8800,LAC,46.3,31.8
Trae Young,PG,8800,ATL,40.9,23.3
Brandon Ingram,SF,8800,NOR,40.6,36.1
Ja Morant,PG,8500,MEM,0.0,0.0
Shai Gilgeous-Alexander,SG,8200,OKC,42.2,56.0
Rudy Gobert,C,8000,UTA,40.5,43.1
Donovan Mitchell,SG,7800,UTA,38.4,41.6
Zion Williamson,PF,7700,NOR,36.4,40.4
Jrue Holiday,PG,7600,MIL,34.8,34.1
D'Angelo Russell,SG,7500,MIN,0.0,0.0
Kristaps Porzingis,PF,7400,DAL,29.8,30.5
Khris Middleton,SF,7400,MIL,38.2,42.6
De'Aaron Fox,PG,7300,SAC,37.5,15.7
Richaun Holmes,C,7200,SAC,32.6,23.5
Jonas Valanciunas,C,7000,MEM,0.0,0.0
Larry Nance Jr.,SF,7000,CLE,31.7,37.3
Mike Conley,PG,6900,UTA,33.0,41.8
John Collins,PF,6800,ATL,32.8,24.8
Steven Adams,C,6800,NOR,28.6,13.9
Harrison Barnes,SF,6600,SAC,28.8,29.2
Tim Hardaway Jr.,SG,6500,DAL,28.4,32.2
Aaron Gordon,PF,6500,ORL,34.4,21.9
Coby White,PG,6400,CHI,33.4,39.3
Clint Capela,C,6400,ATL,34.0,29.2
Darius Bazley,PF,6400,OKC,28.2,20.0
Malik Beasley,SF,6400,MIN,0.0,0.0
Lauri Markkanen,PF,6400,CHI,26.5,30.2
R.J. Barrett,SF,6300,NYK,30.5,31.3
Dillon Brooks,SG,6300,MEM,0.0,0.0
Tyus Jones,PG,6200,MEM,0.0,0.0
Marcus Smart,SG,6200,BOS,32.7,21.4
Mitchell Robinson,C,6000,NYK,30.3,24.2
De'Andre Hunter,SF,6000,ATL,27.9,16.9
Bobby Portis,PF,5900,MIL,23.3,23.6
Dennis Schroder,PG,5900,LAL,27.8,32.0
Montrezl Harrell,C,5800,LAL,25.8,26.5
Kyle Anderson,SF,5800,MEM,0.0,0.0
Marvin Bagley,PF,5700,SAC,24.1,31.0
Buddy Hield,SG,5700,SAC,27.1,18.7
Elfrid Payton,PG,5700,NYK,28.2,9.6
Brandon Clarke,PF,5600,MEM,0.0,0.0
Serge Ibaka,PF,5600,LAC,27.1,19.1
Wendell Carter,C,5600,CHI,26.6,39.2
Otto Porter,SF,5500,CHI,26.1,20.1
Nickeil Alexander-Walker,SG,5500,NOR,26.3,13.6
Tyrese Haliburton,SG,5400,SAC,27.6,17.9
Ricky Rubio,PG,5300,MIN,0.0,0.0
Nicolas Batum,PF,5300,LAC,22.6,25.2
Royce O'Neale,PF,5300,UTA,22.8,23.7
Eric Bledsoe,SG,5300,NOR,23.3,11.2
Daniel Theis,PF,5300,BOS,22.3,20.0
Jordan Clarkson,SG,5200,UTA,28.9,28.4
Payton Pritchard,PG,5200,BOS,20.4,28.3
Terrence Ross,SG,5100,ORL,26.0,12.5
Cedi Osman,SF,5100,CLE,31.7,39.1
Damyean Dotson,PG,5000,CLE,26.4,20.8
Willie Cauley-Stein,C,5000,DAL,25.7,28.7
Kevin Huerter,SG,4900,ATL,24.6,17.2
Brook Lopez,C,4900,MIL,25.8,28.7
Talen Horton-Tucker,SG,4800,LAL,9.6,0.0
Semi Ojeleye,SF,4800,BOS,14.1,26.7
Justise Winslow,SF,4700,MEM,0.0,0.0
Naz Reid,PF,4700,MIN,0.0,0.0
Grayson Allen,SG,4700,MEM,0.0,0.0
Hamidou Diallo,SG,4700,OKC,22.6,11.1
Jeff Teague,PG,4700,BOS,24.1,26.2
Khem Birch,PF,4700,ORL,18.9,31.4
Donte DiVincenzo,SG,4600,MIL,22.7,14.6
De'Anthony Melton,PG,4600,MEM,0.0,0.0
Trey Burke,PG,4500,DAL,23.3,18.1
George Hill,PG,4500,OKC,24.1,14.9
Tacko Fall,C,4500,BOS,0.0,15.0
JaVale McGee,PF,4500,CLE,19.3,9.7
Cam Reddish,SG,4500,ATL,23.9,26.0
Anthony Edwards,SG,4500,MIN,0.0,0.0
Austin Rivers,PG,4500,NYK,19.4,6.4
Cole Anthony,PG,4500,ORL,25.5,21.7
Patrick Williams,PF,4400,CHI,17.3,28.4
John Konchar,SG,4400,MEM,0.0,0.0
Juan Hernangomez,PF,4400,MIN,0.0,0.0
Josh Hart,SF,4400,NOR,21.6,20.2
Tristan Thompson,PF,4400,BOS,24.4,22.7
Gorgui Dieng,C,4300,MEM,0.0,0.0
Bojan Bogdanovic,PF,4300,UTA,23.2,20.1
Jarred Vanderbilt,SF,4200,MIN,0.0,0.0
James Johnson,PF,4200,DAL,23.6,28.5
Thaddeus Young,PF,4200,CHI,17.9,9.2
Isaiah Roby,PF,4200,OKC,25.0,23.3
Luguentz Dort,SG,4100,OKC,20.8,50.6
Jarrett Culver,SF,4100,MIN,0.0,0.0
Derrick Favors,C,4100,UTA,19.5,9.0
Garrett Temple,SF,4100,CHI,14.0,14.6
Ivica Zubac,C,4000,LAC,18.2,20.9
Markieff Morris,PF,4000,LAL,8.0,12.2
Isaac Okoro,SG,4000,CLE,18.8,31.4
Mike Muscala,PF,4000,OKC,17.5,20.2
Kentavious Caldwell-Pope,SG,4000,LAL,16.5,20.7
Obi Toppin,SF,4000,NYK,0.0,11.8
Brandon Goodwin,PG,4000,ATL,0.0,8.7
Aleksej Pokusevski,PF,4000,OKC,14.9,10.1
Tremont Waters,PG,4000,BOS,0.0,8.5
Javonte Green,SG,4000,BOS,15.1,18.9
Grant Williams,PF,4000,BOS,17.9,4.4
Kyle Kuzma,PF,3900,LAL,17.0,30.1
J.J. Redick,SG,3900,NOR,15.2,16.2
Pat Connaughton,SG,3900,MIL,13.2,20.7
Rajon Rondo,PG,3900,ATL,13.1,0.0
Josh Okogie,SF,3900,MIN,0.0,0.0
Jabari Parker,PF,3800,SAC,0.0,0.0
Solomon Hill,SF,3800,ATL,12.6,12.2
Kevin Knox,SF,3800,NYK,11.4,15.3
