Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Joel Embiid,,O,C,9800,PHI,@MEM,1,111,29,28,103,104,10%,16,16,15,32,30,31,48.9,48.4,30.6,66.2,0.0,0.0,0.0,,0.0,0.0
Damian Lillard,22,,PG,9300,POR,ATL,1,120,30,24,103,108,8%,20,18,19,39,35,36,47.3,43.5,30.0,57.0,37.5,49.3,5.3,42.7,54.9,5.9
C.J. McCollum,11,,SG,9200,POR,ATL,1,120,29,26,103,108,-9%,21,19,21,38,34,35,42.7,44.6,35.4,53.8,37.0,43.8,4.8,18.7,20.5,2.2
Pascal Siakam,11,,SF,8900,TOR,CHA,1,114,25,17,102,106,24%,16,17,16,37,37,36,47.0,40.0,28.8,51.2,36.5,42.7,4.8,32.1,24.0,2.7
Trae Young,14,P,PG,8800,ATL,@POR,0,115,34,20,103,111,13%,15,16,17,25,32,32,31.8,38.3,25.8,50.8,33.5,42.0,4.8,38.9,45.9,5.2
Jimmy Butler,,O,SF,8600,MIA,DET,1,112,25,22,101,111,6%,19,12,13,35,28,29,34.9,37.1,18.5,55.7,0.0,0.0,0.0,,0.0,0.0
Ja Morant,2,Q,PG,8500,MEM,PHI,18,112,38,31,105,105,6%,14,18,18,23,27,27,40.3,40.3,11.2,69.4,25.0,31.0,3.6,30.7,26.0,3.1
Ben Simmons,13,,PG,8300,PHI,@MEM,1,111,21,16,103,104,3%,5,9,9,33,34,34,35.2,38.8,30.4,47.1,35.0,42.6,5.1,36.1,39.7,4.8
Bam Adebayo,16,,PF,8200,MIA,DET,1,112,23,22,101,111,-2%,7,10,10,28,31,30,41.8,38.3,29.5,47.1,32.0,42.9,5.2,33.7,52.4,6.4
Chris Boucher,12,,PF,8100,TOR,CHA,1,114,20,29,102,106,24%,12,10,10,31,26,25,39.2,36.8,23.1,50.5,28.0,38.1,4.7,30.8,38.3,4.7
