Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Los Angeles Chargers,2,D,5000,LAC,CAR,18.5,LAC by 6.5,3.6,0.8,1.4,233,117,21.1,10.5,7.0,7.0,7.0,1.3,12.7,8.4,1.7,4.0,0.8
New England Patriots,6,D,4900,NE,LV,20.8,NE by 6,1.8,0.6,0.4,249,120,20.9,5.6,8.5,8.5,8.5,5.0,12.0,7.9,1.6,15.0,3.1
Indianapolis Colts,8,D,4800,IND,NYJ,16.5,IND by 11,3.0,0.5,1.1,198,78,16.3,9.9,9.5,9.5,9.5,1.7,17.3,10.3,2.1,26.0,5.4
Pittsburgh Steelers,12,D,4700,PIT,HOU,20.5,PIT by 4,2.9,0.6,0.9,244,117,22.6,7.5,10.5,10.5,10.5,7.0,14.0,9.1,1.9,7.0,1.5
San Francisco 49ers,3,D,4600,SF,@NYG,18.5,SF by 4.5,3.0,0.9,1.1,228,94,20.3,10.4,4.5,4.5,4.5,3.8,5.2,8.6,1.9,12.0,2.6
Philadelphia Eagles,3,D,4500,PHI,CIN,21.0,PHI by 4.5,2.8,0.8,1.0,214,103,17.7,10.2,2.0,2.0,2.0,0.6,3.4,7.9,1.8,8.0,1.8
Buffalo Bills,2,D,4400,BUF,LAR,22.3,BUF by 2.5,1.3,0.4,1.1,286,98,23.0,6.6,5.0,5.0,5.0,0.8,9.2,6.5,1.5,5.0,1.1
Tennessee Titans,2,D,4300,TEN,@MIN,23.0,TEN by 2.5,1.9,0.6,0.6,222,124,24.6,5.2,4.0,4.0,4.0,2.6,5.4,7.0,1.6,7.0,1.6
Chicago Bears,,D,4200,CHI,@ATL,25.0,ATL by 3,3.0,0.6,0.7,302,89,25.2,6.9,7.5,7.5,7.5,1.1,13.9,6.1,1.5,5.0,1.2
Los Angeles Rams,1,D,4100,LAR,@BUF,24.8,BUF by 2.5,2.5,0.5,0.6,217,124,20.3,6.6,5.5,5.5,5.5,3.4,7.6,7.2,1.8,4.0,1.0
Seattle Seahawks,,D,4000,SEA,DAL,25.3,SEA by 5,1.6,0.6,0.6,298,132,26.2,3.9,3.5,3.5,3.5,2.8,4.2,5.6,1.4,11.0,2.8
Washington Redskins,1,D,3900,WAS,@CLE,26.0,CLE by 7.5,2.1,0.6,1.2,213,130,20.9,7.3,9.5,9.5,9.5,1.7,17.3,6.3,1.6,1.0,0.3
Cleveland Browns,12,D,3900,CLE,WAS,18.5,CLE by 7.5,3.4,0.6,0.8,162,107,16.3,9.4,2.0,2.0,2.0,-0.8,4.8,8.7,2.2,14.0,3.6
New York Jets,1,D,3800,NYJ,@IND,27.5,IND by 11,1.9,0.6,0.8,211,125,22.1,6.9,5.5,5.5,5.5,3.4,7.6,4.5,1.2,0.0,0.0
Tampa Bay Buccaneers,12,D,3800,TB,@DEN,18.5,TB by 6,2.7,0.5,0.6,188,106,17.6,8.0,7.0,7.0,7.0,-2.9,16.9,9.5,2.5,18.0,4.7
Arizona Cardinals,3,D,3700,ARI,DET,24.5,ARI by 5.5,2.8,0.4,0.9,238,104,21.2,7.8,7.5,7.5,7.5,5.4,9.6,6.6,1.8,4.0,1.1
Denver Broncos,,D,3700,DEN,TB,24.5,TB by 6,2.8,0.8,1.9,308,94,27.8,9.8,4.5,4.5,4.5,3.8,5.2,5.8,1.6,4.0,1.1
Houston Texans,,D,3600,HOU,@PIT,24.5,PIT by 4,2.1,0.8,1.1,190,99,18.3,8.6,1.5,1.5,1.5,-0.6,3.6,6.2,1.7,1.0,0.3
New York Giants,4,D,3600,NYG,SF,23.0,SF by 4.5,2.6,0.6,0.8,234,141,27.5,5.9,6.5,6.5,6.5,3.0,10.0,6.8,1.9,-2.0,-0.6
Dallas Cowboys,,D,3500,DAL,@SEA,30.3,SEA by 5,2.8,0.7,0.4,246,139,25.7,7.3,0.5,0.5,0.5,-4.4,5.4,4.1,1.2,2.0,0.6
Carolina Panthers,1,D,3500,CAR,@LAC,25.0,LAC by 6.5,2.1,0.5,1.2,271,96,20.8,7.7,1.0,1.0,1.0,-1.8,3.8,5.5,1.6,11.0,3.1
Minnesota Vikings,1,D,3500,MIN,TEN,25.5,TEN by 2.5,3.1,0.6,0.5,233,139,23.7,5.9,0.0,0.0,0.0,-5.7,5.7,6.1,1.7,3.0,0.9
Las Vegas Raiders,1,D,3400,LV,@NE,26.8,NE by 6,1.8,0.4,0.6,242,110,23.1,6.1,1.0,1.0,1.0,-0.4,2.4,4.0,1.2,0.0,0.0
Cincinnati Bengals,,D,3300,CIN,@PHI,25.5,PHI by 4.5,2.6,1.0,0.6,233,122,21.9,6.9,0.5,0.5,0.5,-3.0,4.0,5.0,1.5,7.0,2.1
Atlanta Falcons,4,D,3200,ATL,CHI,22.0,ATL by 3,2.8,0.4,0.8,209,96,18.6,6.9,1.0,1.0,1.0,-1.8,3.8,7.1,2.2,5.0,1.6
Detroit Lions,,D,3000,DET,@ARI,30.0,ARI by 5.5,2.9,0.4,0.8,211,137,23.2,7.9,-1.0,-1.0,-1.0,-3.8,1.8,3.9,1.3,7.0,2.3
