Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Lamar Jackson,5,,QB,9600,BAL,@WAS,29.0,BAL by 13,-2%,24%,9%,25.7,25.7,29.3,6.0,7.5,10.7,10.7,9.5,2.0,5.7,0.0,0.0,0.0,0.0,0.0,61,19.8,19.8,19.8,12.9,26.7,25.3,2.6,26.0,2.7
Russell Wilson,12,,QB,9000,SEA,@MIA,29.5,SEA by 6.5,10%,5%,17%,34.3,34.3,33.8,4.3,9.0,4.7,4.7,4.6,0.0,6.4,0.0,0.0,0.0,0.0,0.0,64,34.3,34.3,34.3,31.8,36.8,25.1,2.8,21.9,2.4
Ezekiel Elliott,8,,RB,9000,DAL,CLE,30.3,DAL by 4.5,-5%,24%,8%,0.0,0.0,0.0,0.0,0.0,19.3,19.3,19.5,5.0,3.8,7.7,7.7,5.1,0.7,3.8,38,20.1,20.1,20.1,14.3,25.8,18.9,2.1,16.5,1.8
Alvin Kamara,19,,RB,8800,NO,@DET,29.0,NO by 4,18%,8%,20%,0.0,0.0,0.0,0.0,0.0,10.3,10.3,11.5,3.0,4.9,10.3,10.3,9.1,2.3,9.2,34,31.1,31.1,31.1,22.3,39.9,25.5,2.9,19.4,2.2
Michael Thomas,,Q,WR,8800,NO,@DET,29.0,NO by 4,18%,8%,21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,3.4,0,3.2,3.2,3.2,3.2,3.2,0.0,0.0,0.0,0.0
DeAndre Hopkins,11,,WR,8700,ARI,@CAR,27.3,ARI by 3,6%,24%,7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,12.3,12.3,10.4,1.7,9.6,17,19.2,19.2,19.2,16.5,21.9,15.5,1.8,7.6,0.9
Dalvin Cook,21,,RB,8700,MIN,@HOU,24.8,HOU by 5,7%,19%,23%,0.0,0.0,0.0,0.0,0.0,16.0,16.0,18.2,1.7,6.1,3.0,3.0,4.4,0.0,2.7,37,20.8,20.8,20.8,16.3,25.2,18.6,2.1,27.6,3.2
Josh Allen,14,,QB,8600,BUF,@LV,28.0,BUF by 3,6%,-7%,12%,38.0,38.0,36.0,9.7,9.1,7.3,7.3,6.8,2.0,3.8,0.0,0.0,0.0,0.0,0.0,73,31.6,31.6,31.6,28.4,34.8,24.6,2.9,25.4,3.0
Derrick Henry,,,RB,8500,TEN,PIT,22.5,PIT by 2,-23%,-19%,-33%,0.0,0.0,,0.0,0.0,27.3,27.3,,6.7,3.9,2.7,2.7,,0.3,3.3,,16.3,16.3,16.3,7.4,25.3,0.0,0.0,0.0,0.0
Kyler Murray,6,,QB,8400,ARI,@CAR,27.3,ARI by 3,6%,24%,-5%,37.7,37.7,35.0,3.7,7.0,8.7,8.7,6.1,1.7,7.2,0.0,0.0,0.0,0.0,0.0,66,28.4,28.4,28.4,24.1,32.7,23.8,2.8,23.1,2.8
Nick Chubb,5,O,RB,8300,CLE,@DAL,25.8,DAL by 4.5,-2%,-4%,-7%,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.1,3.7,5.7,1.0,1.0,1.6,0.0,5.7,29,18.1,18.1,18.1,6.8,29.5,0.0,0.0,4.3,0.5
Dak Prescott,19,,QB,8200,DAL,CLE,30.3,DAL by 4.5,-5%,24%,11%,47.7,47.7,37.9,4.0,8.3,4.7,4.7,4.5,1.3,5.3,0.0,0.0,0.0,0.0,0.0,65,29.0,29.0,29.0,17.9,40.1,24.5,3.0,38.3,4.7
Joshua Jacobs,2,,RB,8000,LV,BUF,25.0,BUF by 3,-12%,-8%,-6%,0.0,0.0,0.0,0.0,0.0,22.7,22.7,17.7,4.7,3.7,4.3,4.3,3.8,0.0,5.8,36,17.9,17.9,17.9,3.9,31.9,15.8,2.0,8.8,1.1
Chris Carson,1,false,RB,7900,SEA,@MIA,29.5,SEA by 6.5,10%,5%,6%,0.0,0.0,0.0,0.0,0.0,12.3,12.3,14.3,1.7,4.2,4.0,4.0,3.5,1.0,7.8,30,16.3,16.3,16.3,9.9,22.8,14.5,1.8,23.5,3.0
Deshaun Watson,6,,QB,7800,HOU,MIN,29.8,HOU by 5,5%,1%,-15%,31.7,31.7,34.4,3.0,8.3,4.0,4.0,5.0,0.3,4.1,0.0,0.0,0.0,0.0,0.0,65,18.5,18.5,18.5,15.4,21.6,22.6,2.9,20.9,2.7
Drew Brees,1,,QB,7700,NO,@DET,29.0,NO by 4,18%,8%,19%,34.7,34.7,33.9,7.0,7.3,0.7,0.7,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,56,17.8,17.8,17.8,12.8,22.8,18.8,2.4,16.5,2.1
Chris Godwin,,Q,WR,7700,TB,LAC,24.8,TB by 7,-17%,-3%,-21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.0,1.5,11.0,0,12.9,12.9,12.9,10.1,15.7,0.0,0.0,0.0,0.0
Tyler Lockett,10,,WR,7500,SEA,@MIA,29.5,SEA by 6.5,10%,5%,20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,9.7,9.7,8.1,1.3,8.9,14,20.6,20.6,20.6,10.2,31.0,14.7,2.0,4.9,0.7
Ben Roethlisberger,,,QB,7500,PIT,@TEN,24.5,PIT by 2,14%,-2%,5%,36.3,36.3,,4.7,7.1,3.7,3.7,,1.3,0.4,0.0,0.0,,0.0,0.0,,20.2,20.2,20.2,18.5,21.8,0.0,0.0,0.0,0.0
Jonathan Taylor,4,,RB,7500,IND,@CHI,23.0,IND by 2.5,-6%,-3%,8%,0.0,0.0,0.0,0.0,0.0,16.0,16.0,18.8,4.3,3.8,3.0,3.0,2.8,0.7,8.8,35,14.2,14.2,14.2,10.9,17.5,15.2,2.0,8.4,1.1
Jared Goff,5,,QB,7500,LAR,NYG,30.5,LAR by 13,5%,-3%,9%,30.0,30.0,34.3,5.0,9.6,4.3,4.3,3.0,0.7,2.5,0.0,0.0,0.0,0.0,0.0,58,21.2,21.2,21.2,12.5,29.9,20.8,2.8,11.7,1.6
Joe Burrow,5,,QB,7400,CIN,JAX,26.3,CIN by 3,0%,22%,5%,47.0,47.0,36.1,7.7,5.8,5.3,5.3,5.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,65,20.7,20.7,20.7,17.1,24.4,21.2,2.9,16.1,2.2
Mark Andrews,15,,TE,7400,BAL,@WAS,29.0,BAL by 13,-2%,24%,24%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,6.7,2.0,6.4,11,9.1,9.1,9.1,-0.5,18.8,12.0,1.6,19.2,2.6
Gardner Minshew,2,,QB,7400,JAX,@CIN,23.3,CIN by 3,2%,31%,13%,35.7,35.7,35.0,6.0,7.4,4.0,4.0,3.7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,59,18.8,18.8,18.8,11.0,26.6,18.4,2.5,21.9,3.0
Mike Evans,2,Q,WR,7400,TB,LAC,24.8,TB by 7,-17%,-3%,-21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,1.0,6.0,13,13.3,13.3,13.3,6.7,19.9,13.8,1.9,21.7,2.9
Tom Brady,0,,QB,7300,TB,LAC,24.8,TB by 7,-17%,-3%,-19%,36.3,36.3,35.6,6.3,6.9,3.0,3.0,1.2,0.7,1.0,0.0,0.0,0.0,0.0,0.0,60,18.7,18.7,18.7,10.9,26.5,19.2,2.6,33.5,4.6
Kenny Golladay,7,,WR,7300,DET,NO,25.0,NO by 4,-1%,-26%,6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.3,2.0,8.1,13,14.7,14.7,14.7,14.7,14.7,13.6,1.9,14.2,1.9
Cooper Kupp,6,,WR,7200,LAR,NYG,30.5,LAR by 13,5%,-3%,8%,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.0,9.5,7.0,7.0,7.9,1.0,10.9,13,12.6,12.6,12.6,4.8,20.4,13.3,1.8,15.2,2.1
JuJu Smith,,,WR,7200,PIT,@TEN,24.5,PIT by 2,14%,-2%,5%,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,6.3,6.3,,1.0,8.4,,14.8,14.8,14.8,8.0,21.6,0.0,0.0,0.0,0.0
James Conner,1,,RB,7200,PIT,@TEN,24.5,PIT by 2,14%,-2%,11%,0.0,0.0,,0.0,0.0,13.3,13.3,,2.7,5.6,3.7,3.7,,1.0,5.7,,14.9,14.9,14.9,4.2,25.6,0.0,0.0,0.0,0.0
Ryan Tannehill,,,QB,7200,TEN,PIT,22.5,PIT by 2,-23%,-19%,-24%,34.7,34.7,,4.3,7.8,3.7,3.7,,0.0,3.2,0.3,0.3,,0.0,0.0,,19.8,19.8,19.8,13.0,26.6,0.0,0.0,0.0,0.0
Matthew Stafford,5,,QB,7200,DET,NO,25.0,NO by 4,-1%,-26%,-4%,35.3,35.3,36.1,5.3,7.7,2.3,2.3,2.0,0.3,3.4,0.0,0.0,0.0,0.0,0.0,59,17.6,17.6,17.6,16.8,18.4,19.6,2.7,23.3,3.2
Ryan Fitzpatrick,12,,QB,7100,MIA,SEA,23.0,SEA by 6.5,27%,2%,10%,32.3,32.3,36.0,3.3,7.0,5.0,5.0,4.3,2.0,4.5,0.3,0.3,0.0,0.0,0.0,62,19.2,19.2,19.2,9.9,28.4,19.4,2.7,23.3,3.3
Amari Cooper,17,,WR,7100,DAL,CLE,30.3,DAL by 4.5,-5%,24%,-6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,11.7,11.7,8.8,0.7,7.6,14,13.1,13.1,13.1,13.0,13.1,14.1,2.0,27.4,3.9
Nick Foles,0,,QB,7100,CHI,IND,20.5,IND by 2.5,-3%,-18%,-3%,29.0,29.0,35.9,7.0,6.5,3.0,3.0,2.7,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,61,18.2,18.2,18.2,18.2,18.2,16.5,2.3,12.9,1.8
Adam Thielen,5,,WR,7100,MIN,@HOU,24.8,HOU by 5,7%,19%,-2%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.0,4.0,7.0,7.0,8.4,0.7,8.1,14,14.5,14.5,14.5,2.3,26.6,13.0,1.8,22.2,3.1
Allen Robinson,3,,WR,7000,CHI,IND,20.5,IND by 2.5,-3%,-18%,9%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,-1.0,10.3,10.3,10.5,1.0,7.4,17,12.6,12.6,12.6,3.1,22.2,12.8,1.8,19.6,2.8
Stefon Diggs,9,,WR,7000,BUF,@LV,28.0,BUF by 3,6%,-7%,-5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,9.3,9.3,8.3,1.7,10.3,15,16.9,16.9,16.9,9.7,24.2,13.5,1.9,14.5,2.1
