Player Name,Pos,Salary,Team,Proj FP,Actual FP
Lamar Jackson,QB,9500,BAL,27.9,17.6
Patrick Mahomes,QB,9000,KC,24.299999999999997,27.5
Dalvin Cook,RB,8800,MIN,17.8,16.1
Davante Adams,WR,8600,GB,20.400000000000002,5.1
Ezekiel Elliott,RB,8600,DAL,20.7,19.2
Dak Prescott,QB,8300,DAL,24.400000000000002,39.8
Derrick Henry,RB,8300,TEN,21.2,8.4
DeAndre Hopkins,WR,8300,ARI,17.0,16.8
Josh Allen,QB,8200,BUF,24.0,34.5
Julio Jones,WR,8200,ATL,17.4,3.4
Kyler Murray,QB,8000,ARI,23.200000000000003,33.1
Clyde Edwards-Helaire,RB,8000,KC,16.8,10.0
Tyreek Hill,WR,8000,KC,15.399999999999999,19.3
Deshaun Watson,QB,7900,HOU,20.7,15.7
Aaron Rodgers,QB,7900,GB,22.4,18.7
Travis Kelce,TE,7800,KC,15.1,19.5
Matt Ryan,QB,7700,ATL,22.6,28.5
Aaron Jones,RB,7700,GB,16.599999999999998,43.6
Tom Brady,QB,7600,TB,21.3,9.7
Mark Andrews,TE,7500,BAL,14.5,3.4
Ben Roethlisberger,QB,7500,PIT,19.2,19.2
Mike Evans,WR,7400,TB,15.9,19.9
Kirk Cousins,QB,7400,MIN,18.4,1.5
Jared Goff,QB,7300,LAR,20.0,24.0
Carson Wentz,QB,7300,PHI,19.2,14.4
Adam Thielen,WR,7300,MIN,15.200000000000001,4.6
Mitch Trubisky,QB,7200,CHI,19.4,15.2
Cooper Kupp,WR,7200,LAR,13.299999999999999,10.5
Matthew Stafford,QB,7200,DET,19.4,17.2
David Johnson,RB,7200,HOU,15.5,6.0
Calvin Ridley,WR,7100,ATL,15.9,26.4
JuJu Smith,WR,7100,PIT,14.4,8.3
Jimmy Garoppolo,QB,7100,SF,17.5,13.2
Philip Rivers,QB,7100,IND,18.400000000000002,11.9
Ryan Tannehill,QB,7000,TEN,19.4,26.8
Allen Robinson,WR,7000,CHI,14.700000000000001,4.8
