Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Christian McCaffrey,5,O,RB,10500,CAR,@TB,19.3,TB by 9,17%,-36%,-31%,0.0,0.0,0.0,0.0,0.0,23.0,23.0,17.3,6.0,4.2,4.0,4.0,7.2,0.0,9.5,39,26.9,26.9,26.9,26.9,26.9,0.0,0.0,22.8,2.2
Lamar Jackson,11,,QB,9500,BAL,@HOU,29.0,BAL by 7,10%,8%,16%,25.0,25.0,31.6,8.0,11.0,7.0,7.0,9.8,3.0,6.4,0.0,0.0,0.0,0.0,0.0,63,27.5,27.5,27.5,27.5,27.5,25.2,2.7,17.6,1.9
Patrick Mahomes,2,,QB,9000,KC,@LAC,28.3,KC by 9,-14%,-5%,-18%,32.0,32.0,36.2,8.0,6.6,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,20.4,20.4,20.4,20.4,20.4,21.9,2.4,27.5,3.1
Saquon Barkley,8,O,RB,9000,NYG,@CHI,18.3,CHI by 5.5,-2%,-5%,8%,0.0,0.0,0.0,0.0,0.0,15.0,15.0,17.1,3.0,0.4,9.0,9.0,6.4,2.0,6.7,39,9.6,9.6,9.6,9.6,9.6,0.0,0.0,2.8,0.3
Dalvin Cook,7,,RB,8800,MIN,@IND,22.8,IND by 3,2%,-16%,-22%,0.0,0.0,0.0,0.0,0.0,12.0,12.0,16.5,3.0,4.2,2.0,2.0,4.1,0.0,-1.0,34,21.3,21.3,21.3,21.3,21.3,16.0,1.8,16.1,1.8
Davante Adams,19,Q,WR,8600,GB,DET,28.0,GB by 6.5,20%,4%,21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10.7,3.0,9.2,17,34.6,34.6,34.6,34.6,34.6,18.3,2.1,5.1,0.6
Ezekiel Elliott,19,,RB,8600,DAL,ATL,28.5,DAL by 4.5,10%,-7%,-10%,0.0,0.0,0.0,0.0,0.0,22.0,22.0,20.8,4.0,4.4,4.0,4.0,4.5,1.0,7.8,38,26.2,26.2,26.2,26.2,26.2,18.5,2.2,19.2,2.2
Dak Prescott,9,,QB,8300,DAL,ATL,28.5,DAL by 4.5,10%,-7%,24%,39.0,39.0,36.1,6.0,6.8,3.0,3.0,3.4,1.0,10.0,0.0,0.0,0.0,0.0,0.0,60,17.6,17.6,17.6,17.6,17.6,21.8,2.6,39.8,4.8
Derrick Henry,18,,RB,8300,TEN,JAX,25.8,TEN by 9,1%,21%,31%,0.0,0.0,0.0,0.0,0.0,31.0,31.0,21.0,7.0,3.7,3.0,3.0,2.1,1.0,5.0,39,14.6,14.6,14.6,14.6,14.6,18.9,2.3,8.4,1.0
DeAndre Hopkins,11,,WR,8300,ARI,WAS,27.3,ARI by 7,0%,25%,-2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,16.0,16.0,11.1,0.0,9.4,18,22.1,22.1,22.1,22.1,22.1,15.2,1.8,16.8,2.0
Josh Allen,8,,QB,8200,BUF,@MIA,23.5,BUF by 6,6%,17%,20%,46.0,46.0,33.8,14.0,6.8,14.0,14.0,7.2,2.0,4.1,0.0,0.0,0.0,0.0,0.0,64,28.2,28.2,28.2,28.2,28.2,21.4,2.6,34.5,4.2
Julio Jones,9,Q,WR,8200,ATL,@DAL,24.0,DAL by 4.5,-6%,-9%,-11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,12.0,12.0,12.3,1.0,13.1,19,20.2,20.2,20.2,20.2,20.2,15.5,1.9,3.4,0.4
Kyler Murray,13,,QB,8000,ARI,WAS,27.3,ARI by 7,0%,25%,11%,40.0,40.0,34.4,1.0,5.8,13.0,13.0,6.4,0.0,7.0,0.0,0.0,0.0,0.0,0.0,66,27.3,27.3,27.3,27.3,27.3,20.6,2.6,33.1,4.1
Clyde Edwards-Helaire,9,,RB,8000,KC,@LAC,28.3,KC by 9,-14%,-5%,3%,0.0,0.0,0.0,0.0,0.0,25.0,25.0,16.3,10.0,5.5,2.0,2.0,3.6,0.0,0.0,31,19.8,19.8,19.8,19.8,19.8,14.9,1.9,10.0,1.3
Tyreek Hill,2,,WR,8000,KC,@LAC,28.3,KC by 9,-14%,-5%,-21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,6.0,6.0,8.4,1.0,7.7,14,13.1,13.1,13.1,13.1,13.1,13.7,1.7,19.3,2.4
Deshaun Watson,2,,QB,7900,HOU,BAL,22.0,BAL by 7,-11%,-12%,-28%,32.0,32.0,33.9,3.0,7.9,6.0,6.0,5.3,1.0,4.5,0.0,0.0,0.0,0.0,0.0,67,21.8,21.8,21.8,21.8,21.8,18.4,2.3,15.7,2.0
Aaron Rodgers,16,,QB,7900,GB,DET,28.0,GB by 6.5,20%,4%,18%,44.0,44.0,35.1,12.0,8.3,1.0,1.0,2.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,60,30.8,30.8,30.8,30.8,30.8,19.9,2.5,18.7,2.4
Travis Kelce,8,,TE,7800,KC,@LAC,28.3,KC by 9,-14%,-5%,-11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.8,2.0,8.3,14,14.0,14.0,14.0,14.0,14.0,13.4,1.7,19.5,2.5
Chris Godwin,1,,WR,7800,TB,CAR,28.3,TB by 9,0%,25%,8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,11.3,0,10.9,10.9,10.9,10.9,10.9,0.0,0.0,0.0,0.0
Matt Ryan,5,,QB,7700,ATL,@DAL,24.0,DAL by 4.5,-6%,-9%,-7%,54.0,54.0,38.7,8.0,8.3,1.0,1.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,64,24.9,24.9,24.9,24.9,24.9,20.0,2.6,28.5,3.7
Aaron Jones,15,,RB,7700,GB,DET,28.0,GB by 6.5,20%,4%,17%,0.0,0.0,0.0,0.0,0.0,16.0,16.0,14.2,3.0,4.1,6.0,6.0,4.0,4.0,1.7,29,15.6,15.6,15.6,15.6,15.6,14.7,1.9,43.6,5.7
Tom Brady,5,,QB,7600,TB,CAR,28.3,TB by 9,0%,25%,-1%,36.0,36.0,35.8,6.0,6.6,3.0,3.0,1.1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,57,22.5,22.5,22.5,22.5,22.5,18.8,2.5,9.7,1.3
Mark Andrews,12,,TE,7500,BAL,@HOU,29.0,BAL by 7,10%,8%,17%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,4.0,9.7,11,20.3,20.3,20.3,20.3,20.3,12.8,1.7,3.4,0.5
Kenny Golladay,1,Q,WR,7500,DET,@GB,21.5,GB by 6.5,1%,11%,-6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Roethlisberger,1,,QB,7500,PIT,DEN,24.5,PIT by 7.5,-4%,0%,-11%,32.0,32.0,34.8,5.0,7.2,3.0,3.0,1.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,56,22.1,22.1,22.1,22.1,22.1,16.9,2.3,19.2,2.6
Mike Evans,6,,WR,7400,TB,CAR,28.3,TB by 9,0%,25%,8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.3,1.0,0.5,11,6.7,6.7,6.7,6.7,6.7,14.0,1.9,19.9,2.7
Kirk Cousins,0,,QB,7400,MIN,@IND,22.8,IND by 3,2%,-16%,7%,25.0,25.0,33.1,1.0,10.4,4.0,4.0,1.8,0.0,8.5,0.0,0.0,0.0,0.0,0.0,57,22.8,22.8,22.8,22.8,22.8,16.2,2.2,1.5,0.2
George Kittle,1,Q,TE,7400,SF,@NYJ,24.5,SF by 7,3%,-25%,-24%,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,5.0,5.0,0.0,1.0,8.8,0,7.3,7.3,7.3,7.3,7.3,0.0,0.0,0.0,0.0
Jared Goff,1,,QB,7300,LAR,@PHI,23.3,LAR by 1,-2%,-18%,-9%,31.0,31.0,36.4,8.0,8.9,4.0,4.0,1.6,0.0,3.8,0.0,0.0,0.0,0.0,0.0,60,11.5,11.5,11.5,11.5,11.5,17.6,2.4,24.0,3.3
