,
Name,Projected Ownership
Calvin Ridley,26.44%
Ezekiel Elliott,21.27%
Will Dissly,19.66%
Chris Carson,17.16%
Derrick Henry,14.97%
Jonathan Taylor,13.74%
Austin Ekeler,13.41%
Dallas Goedert,12.96%
Pittsburgh Steelers,12.92%
Chris Godwin,12.4%
Joe Mixon,11.88%
New England Patriots,11.85%
DK Metcalf,11.08%
Darius Slayton,11.04%
A.J. Green,11%
Keenan Allen,10.88%
Adam Thielen,10.76%
Dalvin Cook,10.56%
Terry McLaurin,10.52%
Tyler Lockett,10.4%
James Conner,10.23%
Tyler Higbee,10.08%
Zach Ertz,10.02%
DJ Moore,9.84%
Kenyan Drake,9.72%
Leonard Fournette,9.45%
Miles Sanders,9.03%
DeSean Jackson,9%
William Fuller,8.72%
CeeDee Lamb,8.48%
DeAndre Hopkins,8.2%
Nick Chubb,8.16%
Rob Gronkowski,8.02%
Matthew Stafford,8.01%
Josh Jacobs,7.95%
Devonta Freeman,7.68%
Darren Waller,7.46%
Marvin Jones,7.44%
Tyler Boyd,7.44%
Michael Gallup,7.2%
Mike Evans,7.16%
Russell Wilson,7.14%
JuJu Smith,7.08%
Kareem Hunt,6.93%
Boston Scott,6.84%
Amari Cooper,6.84%
Stefon Diggs,6.68%
Evan Engram,6.66%
Greg Ward,6.52%
Buffalo Bills,6.47%
Austin Hooper,6.12%
New York Jets,6.1%
Dak Prescott,5.54%
San Francisco 49ers,5.52%
Todd Gurley,5.52%
Ben Roethlisberger,5.52%
Joe Burrow,5.32%
Cam Newton,5.3%
Cooper Kupp,5.24%
Antonio Gibson,5.22%
Indianapolis Colts,5.18%
Allen Robinson,5.16%
Julian Edelman,5.12%
Kenny Golladay,5%
Josh Allen,4.99%
Deshaun Watson,4.95%
O.J. Howard,4.94%
Hunter Henry,4.86%
Cole Beasley,4.84%
Wayne Gallman,4.83%
Brian Hill,4.83%
Robert Woods,4.68%
Jarvis Landry,4.68%
Melvin Gordon,4.65%
Devin Singletary,4.62%
Golden Tate,4.6%
Odell Beckham,4.6%
John Brown,4.4%
Ryan Tannehill,4.35%
Tennessee Titans,4.24%
Matt Ryan,4.2%
Sony Michel,4.17%
T.Y. Hilton,4.12%
Kerryon Johnson,3.93%
Carson Wentz,3.92%
Noah Fant,3.78%
Zach Pascal,3.76%
Jonnu Smith,3.74%
Tom Brady,3.68%
Nick Mullens,3.62%
Chicago Bears,3.59%
Hayden Hurst,3.56%
Arizona Cardinals,3.54%
David Johnson,3.45%
Robbie Anderson,3.4%
Gerald Everett,3.38%
Anthony Miller,3.32%
Justin Herbert,3.3%
Adrian Peterson,3.21%
Kyler Murray,3.2%
Greg Olsen,3.16%
Washington Football Team,3.15%
Ronald Jones,3%
James Washington,3%
Tampa Bay Buccaneers,2.97%
Denver Broncos,2.88%
David Montgomery,2.88%
Steven Sims,2.88%
Seattle Seahawks,2.85%
T.J. Hockenson,2.8%
Kenny Stills,2.76%
Corey Davis,2.76%
Sam Darnold,2.73%
Dallas Cowboys,2.72%
Diontae Johnson,2.68%
Los Angeles Rams,2.67%
Atlanta Falcons,2.63%
Randall Cobb,2.6%
Jerry Jeudy,2.56%
Chase Edmonds,2.55%
Philadelphia Eagles,2.49%
Ian Thomas,2.4%
Benny Snell,2.34%
Russell Gage,2.28%
Baker Mayfield,2.28%
Kaden Smith,2.24%
Carlos Hyde,2.22%
Ryan Izzo,2.22%
Eric Ebron,2.18%
Daniel Jones,2.06%
Nyheim Hines,2.04%
New York Giants,1.99%
Hunter Renfrow,1.96%
Danny Amendola,1.88%
Jeff Driskel,1.84%
Minnesota Vikings,1.84%
Vance McDonald,1.78%
Los Angeles Chargers,1.77%
Mitchell Trubisky,1.76%
Cleveland Browns,1.74%
Malcolm Brown,1.71%
Curtis Samuel,1.68%
Tarik Cohen,1.68%
Darren Fells,1.58%
Mike Williams,1.56%
Philip Rivers,1.55%
Jared Goff,1.55%
Jimmy Graham,1.54%
Kyle Rudolph,1.54%
N'Keal Harry,1.48%
Harrison Bryant,1.45%
Scotty Miller,1.4%
Jeremy McNichols,1.39%
Ross Dwelley,1.38%
Joshua Kelley,1.37%
Kirk Cousins,1.36%
Jerick McKinnon,1.35%
J.J. Taylor,1.32%
Cincinnati Bengals,1.31%
Rex Burkhead,1.29%
Drew Sample,1.29%
Houston Texans,1.29%
Kendrick Bourne,1.24%
Brandin Cooks,1.2%
Darrell Daniels,1.18%
Mike Davis,1.17%
Carolina Panthers,1.16%
Las Vegas Raiders,1.08%
Devontae Booker,1.05%
Larry Fitzgerald,1.04%
Alexander Mattison,1.02%
Detroit Lions,1%
Bryan Edwards,1%
Logan Thomas,1%
