Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Indianapolis Colts,7,D,5000,IND,CIN,19.3,IND by 8,4.4,0.8,0.6,230,103,20.4,10.2,14.7,12.6,12.6,4.0,21.2,9.3,1.9,4.0,0.8
Baltimore Ravens,10,D,4900,BAL,@PHI,20.0,BAL by 7.5,3.8,0.4,1.8,214,108,21.4,8.6,13.0,13.8,13.8,5.8,21.8,10.2,2.1,7.0,1.4
New England Patriots,8,D,4800,NE,DEN,17.5,NE by 10,3.3,0.5,1.5,214,93,20.5,10.5,8.3,9.0,9.0,4.0,14.0,9.3,1.9,6.0,1.3
Washington Redskins,0,D,4600,WAS,@NYG,22.8,NYG by 2.5,3.2,0.8,1.0,203,79,15.0,10.4,2.3,5.2,5.2,-0.4,10.8,8.3,1.8,4.0,0.9
Pittsburgh Steelers,4,D,4500,PIT,CLE,24.0,PIT by 3,1.4,0.4,0.8,198,188,29.6,4.6,9.3,9.0,9.0,6.3,11.7,7.6,1.7,18.0,4.0
Miami Dolphins,8,D,4400,MIA,NYJ,18.8,MIA by 9.5,3.0,0.2,0.8,176,103,13.8,10.4,9.0,6.6,6.6,1.6,11.6,8.8,2.0,15.0,3.4
Cleveland Browns,1,D,4300,CLE,@PIT,27.0,PIT by 3,1.5,0.8,0.3,240,139,29.0,2.3,10.7,7.2,7.2,1.1,13.3,5.7,1.3,1.0,0.2
Green Bay Packers,1,D,4200,GB,@TB,27.3,GB by 0,1.6,0.6,0.8,266,99,27.4,6.8,6.7,6.3,6.3,2.3,10.2,6.1,1.5,-1.0,-0.2
Chicago Bears,,D,4100,CHI,@CAR,23.0,CAR by 1,1.6,0.4,0.6,282,118,24.4,3.8,4.3,5.6,5.6,1.7,9.5,6.3,1.5,11.0,2.7
Tennessee Titans,3,D,4000,TEN,HOU,25.0,TEN by 3,3.4,0.4,1.0,275,85,22.0,7.6,5.0,5.0,5.0,3.0,7.0,7.4,1.9,-2.0,-0.5
Tampa Bay Buccaneers,2,D,4000,TB,GB,27.3,GB by 0,0.8,0.0,0.0,295,151,36.0,-2.5,10.0,8.8,8.8,1.6,16.0,3.5,0.9,19.0,4.8
New York Giants,7,D,3900,NYG,WAS,20.3,NYG by 2.5,4.2,1.0,0.6,182,81,17.8,8.8,4.7,5.4,5.4,0.4,10.4,8.5,2.2,14.0,3.6
Denver Broncos,1,D,3900,DEN,@NE,27.5,NE by 10,1.8,0.5,1.3,216,180,22.8,6.8,5.0,4.8,4.8,3.8,5.7,4.9,1.3,14.0,3.6
Houston Texans,1,D,3800,HOU,@TEN,28.0,TEN by 3,1.0,0.0,0.3,263,129,24.7,2.3,4.0,3.0,3.0,-0.5,6.5,4.2,1.1,4.0,1.1
Minnesota Vikings,3,D,3800,MIN,ATL,25.3,MIN by 4,2.2,0.0,0.6,276,115,23.2,3.2,4.7,2.8,2.8,-1.2,6.8,6.2,1.6,0.0,0.0
Carolina Panthers,2,D,3700,CAR,CHI,22.0,CAR by 1,2.2,0.0,1.2,228,95,21.0,5.6,6.3,4.2,4.2,-0.2,8.6,7.3,2.0,2.0,0.5
Jacksonville Jaguars,,D,3600,JAX,DET,28.8,DET by 3,3.0,0.0,0.8,232,102,24.8,5.8,2.0,2.4,2.4,-0.2,5.0,4.4,1.2,1.0,0.3
Philadelphia Eagles,,D,3600,PHI,BAL,27.5,BAL by 7.5,2.4,0.4,0.6,179,160,28.6,3.4,8.3,5.8,5.8,-1.8,13.4,4.3,1.2,8.0,2.2
New York Jets,1,D,3500,NYJ,@MIA,28.3,MIA by 9.5,1.6,0.0,1.0,261,104,27.2,3.2,3.3,4.2,4.2,0.9,7.5,5.3,1.5,6.0,1.7
Detroit Lions,1,D,3400,DET,@JAX,25.8,DET by 3,3.4,0.6,0.8,268,98,21.8,7.0,1.3,1.3,1.3,-2.9,5.4,6.1,1.8,6.0,1.8
Cincinnati Bengals,2,D,3300,CIN,@IND,27.3,IND by 8,1.0,0.0,1.0,244,106,22.0,5.0,5.0,3.2,3.2,-0.1,6.5,4.6,1.4,4.0,1.2
Atlanta Falcons,,D,3200,ATL,@MIN,29.3,MIN by 4,2.6,0.4,1.4,215,161,26.4,7.2,1.7,1.4,1.4,-1.1,3.9,5.1,1.6,7.0,2.2
