Name,Actual Ownership
Alvin Kamara,38.5%
Travis Fulgham,27.9%
DK Metcalf,26.6%
Ronald Jones II,26.6%
Buffalo Bills,23.4%
Stefon Diggs,23.3%
Kareem Hunt,22.4%
Chase Claypool,19.2%
Todd Gurley II,18.7%
Kenny Golladay,18.2%
Boston Scott,16.7%
Travis Kelce,14.8%
Kyler Murray,14.8%
Philadelphia Eagles,14%
Chris Carson,13.2%
Justin Herbert,12.6%
Davante Adams,12.5%
T.J. Hockenson,12.2%
Hunter Henry,12.1%
Terry McLaurin,11.9%
Calvin Ridley,11.6%
Will Fuller V,11%
Tee Higgins,10.6%
Darren Waller,10.4%
Russell Wilson,10.4%
George Kittle,10.4%
Julio Jones,10.2%
D'Andre Swift,10%
Josh Allen,9.9%
Derrick Henry,9.9%
DeAndre Hopkins,9.6%
Christian Kirk,9.4%
Tyreek Hill,8.9%
Jamaal Williams,8.3%
Tyler Boyd,7.9%
Kansas City Chiefs,7.8%
Matt Ryan,7.4%
Robby Anderson,7.3%
Carson Wentz,7.3%
Mike Williams,7.2%
Clyde Edwards-Helaire,7.2%
Devin Singletary,7.1%
Darius Slayton,6.9%
A.J. Brown,6.9%
Washington Football Team,6.7%
Matthew Stafford,6.6%
Brandin Cooks,6.4%
Mike Davis,6.4%
James Conner,6.3%
Odell Beckham Jr.,6.2%
Tyler Lockett,5.8%
Tampa Bay Buccaneers,5.7%
New York Giants,5.6%
Evan Engram,5.6%
David Johnson,5.5%
Patrick Mahomes,5.4%
Deshaun Watson,5.3%
Keenan Allen,5.1%
Rob Gronkowski,5.1%
Richard Rodgers,5.1%
Ezekiel Elliott,5%
Aaron Rodgers,4.7%
Josh Jacobs,4.7%
CeeDee Lamb,4.6%
Los Angeles Rams,4.5%
Devonta Freeman,4.5%
Los Angeles Chargers,4.3%
James Robinson,4.3%
Allen Robinson II,4.1%
Cole Beasley,3.9%
Robert Tonyan,3.9%
Pittsburgh Steelers,3.8%
Chicago Bears,3.8%
Antonio Gibson,3.7%
Giovani Bernard,3.7%
Jimmy Graham,3.3%
Jerick McKinnon,3.2%
Kenyan Drake,3.1%
Henry Ruggs III,3.1%
Deebo Samuel,3%
Dalton Schultz,3%
Jared Cook,2.9%
David Montgomery,2.8%
Darren Fells,2.8%
Cooper Kupp,2.6%
Dallas Cowboys,2.6%
New York Jets,2.6%
Cleveland Browns,2.5%
New England Patriots,2.5%
Robert Woods,2.5%
Keelan Cole,2.4%
Tom Brady,2.4%
DeSean Jackson,2.4%
Darrell Henderson Jr.,2.3%
Chris Godwin,2.2%
Mike Evans,2.2%
A.J. Green,2%
DJ Moore,2%
Corey Davis,1.9%
Hayden Hurst,1.8%
Justin Jackson,1.8%
Joe Burrow,1.8%
New Orleans Saints,1.7%
Jonnu Smith,1.7%
Adam Humphries,1.7%
Ryan Tannehill,1.6%
Tre'Quan Smith,1.6%
Melvin Gordon III,1.5%
Teddy Bridgewater,1.5%
Anthony Firkser,1.5%
Amari Cooper,1.4%
Derek Carr,1.4%
JuJu Smith-Schuster,1.3%
Michael Gallup,1.3%
Tim Patrick,1.3%
DJ Chark Jr.,1.1%
Daniel Jones,1.1%
Joshua Kelley,1.1%
Logan Thomas,1.1%
Carolina Panthers,1%
Latavius Murray,1%
Cincinnati Bengals,1%
Marvin Jones Jr.,1%
Le'Veon Bell,1%
Noah Fant,1%
