Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Ben Bishop,,,G,9000,DAL,EDM,1,63%,2.39,61.4,56.7,56.7,0.933,0.933,26.7,20.6,20.6,6.9,34.2,21.2,2.4,12.8,1.4
Jordan Binnington,,,G,8700,STL,COL,1,53%,2.68,50.2,58.6,58.6,0.919,0.919,13.9,19.8,19.8,7.2,32.4,17.4,2.0,24.8,2.9
Braden Holtby,,,G,8600,WAS,@CLS,1,60%,2.72,60.4,58.9,58.9,0.911,0.911,21.6,19.4,19.4,7.9,30.9,19.5,2.3,2.4,0.3
Alexander Georgiev,,,G,8200,NYR,NSH,1,44%,3.16,59.7,54.9,54.9,0.923,0.923,33.1,21.9,21.9,4.4,39.5,17.5,2.1,3.2,0.4
Mikko Koskinen,,,G,8100,EDM,@DAL,1,37%,3.11,54.2,57.0,57.0,0.914,0.914,13.3,18.7,18.7,4.6,32.8,15.2,1.9,35.2,4.3
Sergei Bobrovsky,,,G,8000,FLA,OTT,1,64%,2.81,59.0,55.8,55.8,0.900,0.900,25.4,14.8,14.8,1.5,28.2,20.6,2.6,31.2,3.9
Philipp Grubauer,,Q,G,7800,COL,@STL,2,47%,2.82,43.5,55.5,55.5,0.914,0.914,14.7,18.3,18.3,6.0,30.6,18.6,2.4,8.0,1.0
Anders Nilsson,,,G,7700,OTT,@FLA,1,36%,3.69,50.5,54.4,54.4,0.913,0.913,13.8,17.7,17.7,1.4,34.0,14.5,1.9,-4.0,-0.5
Juuse Saros,,,G,7400,NSH,@NYR,1,56%,2.84,61.0,54.2,54.2,0.894,0.894,13.8,10.6,10.6,0.1,21.1,18.4,2.5,35.2,4.8
Joonas Korpisalo,,,G,7300,CLS,WAS,1,40%,3.28,56.5,57.9,57.9,0.906,0.906,13.6,15.8,15.8,4.0,27.6,13.6,1.9,44.0,6.0
