Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Nathan MacKinnon,,,C,9200,COL,@CHI,1,L1,P1,3.07,20.1,20.9,20.9,5.2,4.8,4.8,22.3,23.3,23.3,11.4,35.2,18.6,2.0,20.0,2.2
Connor McDavid,,,C,9000,EDM,@STL,1,L1,P1,,22.4,22.3,22.3,2.0,3.1,3.1,16.1,21.3,21.3,6.1,36.5,19.2,2.1,6.4,0.7
Leon Draisaitl,,,W,8700,EDM,@STL,1,L2,P1,,22.5,22.7,22.7,2.6,3.0,3.0,13.8,20.7,20.7,8.5,32.9,16.4,1.9,20.8,2.4
Patrick Kane,,,W,8200,CHI,COL,2,L2,P1,2.69,20.1,21.3,21.3,2.6,3.6,3.6,16.5,17.9,17.9,6.6,29.2,17.5,2.1,4.8,0.6
Mikko Rantanen,,,W,7800,COL,@CHI,1,L1,P1,3.07,19.6,18.8,18.8,2.6,2.5,2.5,14.3,17.7,17.7,6.9,28.4,16.1,2.1,21.6,2.8
Gabriel Landeskog,,,W,7200,COL,@CHI,1,L2,P1,3.07,18.0,19.5,19.5,2.4,2.3,2.3,9.4,10.6,10.6,2.2,19.0,14.7,2.0,19.2,2.7
Ryan O'Reilly,,,C,6700,STL,EDM,1,L2,P1,,20.7,20.7,20.7,0.8,1.7,1.7,10.6,11.5,11.5,-0.1,23.1,13.1,2.0,14.4,2.1
Jonathan Toews,,,C,6500,CHI,COL,2,L1,P1,2.69,19.2,19.4,19.4,2.6,2.5,2.5,21.0,11.4,11.4,2.6,20.2,13.9,2.1,6.4,1.0
Jakob Silfverberg,,,W,6300,ANH,@NJ,0,L2,P2,,18.3,17.7,17.7,1.8,2.0,2.0,13.7,11.3,11.3,3.3,19.3,10.9,1.7,6.4,1.0
Alex Pietrangelo,,,D,6200,STL,EDM,1,D1,P1,,23.6,23.9,23.9,3.6,3.0,3.0,14.3,13.1,13.1,6.2,20.0,12.2,2.0,9.6,1.5
