Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Alexander Ovechkin,W,9000,WAS,VGK,1,17.0,11.2
Auston Matthews,C,8900,TOR,PHI,1,18.1,19.2
Nathan MacKinnon,C,8600,COL,CLS,1,18.6,6.4
Sidney Crosby,C,8300,PIT,CHI,1,16.1,4.8
Mark Stone,W,7900,VGK,WAS,2,14.5,3.2
Evgeni Malkin,C,7800,PIT,CHI,2,15.4,22.4
Mitchell Marner,W,7800,TOR,PHI,2,15.3,3.2
Patrick Kane,W,7700,CHI,PIT,2,17.5,16.8
Anze Kopitar,C,7600,LA,MON,1,13.1,17.3
Evander Kane,W,7500,SJ,NSH,1,13.1,4.8
Claude Giroux,C,7500,PHI,TOR,1,13.3,11.2
Evgeny Kuznetsov,C,7500,WAS,VGK,2,13.1,30.1
Filip Forsberg,W,7400,NSH,SJ,1,14.6,23.2
Jake Guentzel,W,7400,PIT,CHI,1,15.1,18.4
Johnny Gaudreau,W,7300,CGY,STL,1,16.3,1.6
Brendan Gallagher,W,7300,MON,LA,1,12.6,4.8
John Tavares,C,7300,TOR,PHI,2,16.9,4.8
Brent Burns,D,7200,SJ,NSH,23,14.9,12.8
Sean Monahan,C,7100,CGY,STL,1,14.7,3.2
John Carlson,D,7100,WAS,VGK,25,13.8,22.9
Sebastian Aho,C,7000,CAR,OTT,1,15.4,4.8
Phil Kessel,W,7000,ARI,MIN,1,14.0,6.4
Max Pacioretty,W,7000,VGK,WAS,2,12.0,23.2
Matthew Tkachuk,W,6900,CGY,STL,2,14.1,18.4
Viktor Arvidsson,W,6900,NSH,SJ,1,14.1,3.2
Sean Couturier,C,6900,PHI,TOR,2,14.9,1.6
Matt Duchene,C,6800,NSH,SJ,2,12.0,0.0
Ryan O'Reilly,C,6800,STL,CGY,2,13.1,29.0
Cam Atkinson,W,6800,CLS,COL,3,13.1,12.8
Roman Josi,D,6700,NSH,SJ,36,13.8,8.0
Tomas Hertl,C,6600,SJ,NSH,2,13.2,21.6
Elias Lindholm,W,6600,CGY,STL,1,12.2,6.4
William Karlsson,C,6600,VGK,WAS,1,11.8,1.6
Jakub Voracek,W,6600,PHI,TOR,3,12.8,6.4
Brayden Schenn,C,6500,STL,CGY,1,11.5,4.8
Dougie Hamilton,D,6500,CAR,OTT,42,11.7,19.7
Logan Couture,C,6400,SJ,NSH,1,13.9,4.8
Tomas Tatar,W,6400,MON,LA,1,10.7,12.8
Eric Staal,C,6400,MIN,ARI,1,11.4,3.2
Jonathan Audy-Marchessault,W,6400,VGK,WAS,1,13.5,11.7
Morgan Rielly,D,6400,TOR,PHI,48,13.4,9.6
Erik Karlsson,D,6300,SJ,NSH,49,14.6,6.4
T.J. Oshie,W,6300,WAS,VGK,1,10.8,9.6
Teuvo Teravainen,W,6300,CAR,OTT,2,12.4,14.9
David Perron,W,6200,STL,CGY,2,10.0,24.2
Travis Konecny,W,6200,PHI,TOR,2,11.1,14.9
Andrei Svechnikov,W,6200,CAR,OTT,1,11.1,22.1
Alex Pietrangelo,D,6100,STL,CGY,55,12.2,21.8
Alex DeBrincat,W,6100,CHI,PIT,2,14.1,3.2
Max Domi,C,6100,MON,LA,2,11.9,11.7
