Player Name,Salary,Team,Opp,Proj FP,Actual FP
Braden Holtby,8500,WAS,BOS,16.5,20.8
Jordan Binnington,8300,STL,ANH,19.5,4.8
Pekka Rinne,8300,NSH,CHI,19.7,-8.0
Jaroslav Halak,8200,BOS,WAS,16.4,25.6
Martin Jones,8100,SJ,DET,18.7,20.0
Thomas Greiss,8100,NYI,PHI,19.3,22.4
Thatcher Demko,7900,VAN,COL,18.2,-5.6
John Gibson,7900,ANH,STL,16.7,37.6
Henrik Lundqvist,7800,NYR,FLA,14.2,4.8
Sergei Bobrovsky,7800,FLA,NYR,20.8,24.0
Tristan Jarry,7700,PIT,TOR,6.5,33.6
Robin Lehner,7600,CHI,NSH,14.6,35.2
Linus Ullmark,7500,BUF,OTT,20.7,20.8
Keith Kinkaid,7400,MON,NJ,18.5,15.2
Brian Elliott,7300,PHI,NYI,17.9,14.4
MacKenzie Blackwood,7200,NJ,MON,14.1,24.8
Antoine Bibeau,7000,COL,VAN,0.0,18.4
Jimmy Howard,7000,DET,SJ,12.8,0.8
Craig Anderson,7000,OTT,BUF,14.3,10.4
