Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Nathan MacKinnon,2,,C,8900,COL,@ANH,1,L1,P1,3.12,18.6,18.6,18.6,4.0,4.0,4.0,19.6,19.6,19.6,6.1,33.1,15.7,1.8,17.6,2.0
Connor McDavid,2,,C,8700,EDM,@WPG,1,L1,P1,3.45,21.8,20.8,20.8,4.6,4.7,4.7,22.6,20.4,20.4,0.0,40.9,16.2,1.9,33.6,3.9
Sidney Crosby,2,,C,8300,PIT,NYR,1,L1,P1,3.43,19.9,19.9,19.9,2.8,2.8,2.8,16.6,16.6,16.6,2.7,30.4,12.6,1.5,20.8,2.5
Leon Draisaitl,2,,C,8100,EDM,@WPG,1,L2,P1,3.45,21.4,20.1,20.1,3.2,2.8,2.8,18.3,16.8,16.8,5.8,27.9,15.3,1.9,26.4,3.3
Artemi Panarin,1,,W,8100,NYR,@PIT,1,L2,P1,3.07,21.8,21.8,21.8,3.0,3.0,3.0,17.3,17.3,17.3,5.8,28.8,13.3,1.6,9.6,1.2
Mikko Rantanen,2,,W,7900,COL,@ANH,1,L1,P1,3.12,17.7,17.7,17.7,4.0,4.0,4.0,20.5,20.5,20.5,11.3,29.7,12.0,1.5,18.4,2.3
Evgeni Malkin,1,,C,7800,PIT,NYR,1,L2,P1,3.43,19.1,19.1,19.1,2.2,2.2,2.2,8.3,8.3,8.3,0.8,15.8,13.5,1.7,0.0,0.0
Jake Guentzel,1,,W,7500,PIT,NYR,1,L1,P1,3.43,20.1,20.1,20.1,2.6,2.6,2.6,11.9,11.9,11.9,1.5,22.3,13.4,1.8,16.8,2.2
Kyle Connor,1,,W,7500,WPG,EDM,0,L1,P1,3.05,20.2,20.2,20.2,2.6,2.6,2.6,22.3,22.3,22.3,14.6,29.9,12.6,1.7,4.8,0.6
Anders Lee,2,,W,7400,NYI,@NJ,2,L1,P1,3.05,16.8,16.8,16.8,3.3,3.3,3.3,13.5,13.5,13.5,0.6,26.5,9.5,1.3,3.2,0.4
Mika Zibanejad,,,C,7400,NYR,@PIT,1,L1,P1,3.07,20.1,20.1,20.1,3.5,3.5,3.5,10.7,10.7,10.7,5.9,15.5,14.2,1.9,3.2,0.4
Mark Scheifele,2,,C,7400,WPG,EDM,0,L1,P1,3.05,23.5,23.5,23.5,3.6,3.6,3.6,21.8,21.8,21.8,12.8,30.8,11.9,1.6,13.3,1.8
Anze Kopitar,1,,C,7300,LA,@STL,0,L1,P1,2.37,24.0,24.0,24.0,2.4,2.4,2.4,16.7,16.7,16.7,7.8,25.7,10.1,1.4,33.3,4.6
Ryan Nugent-Hopkins,2,,W,7300,EDM,@WPG,1,L1,P1,3.45,22.1,21.3,21.3,4.0,3.7,3.7,16.8,14.8,14.8,-1.3,31.0,10.9,1.5,20.0,2.7
Logan Couture,2,,C,7200,SJ,@MIN,1,L1,P1,2.56,20.0,20.0,20.0,3.0,3.0,3.0,13.6,13.6,13.6,-1.1,28.4,10.1,1.4,9.6,1.3
Evander Kane,1,,W,7100,SJ,@MIN,1,L2,P1,2.56,20.4,20.4,20.4,3.2,3.2,3.2,12.5,12.5,12.5,-3.3,28.4,10.4,1.5,17.3,2.4
Filip Forsberg,1,,W,7000,NSH,@DAL,1,L1,P1,2.73,18.3,18.3,18.3,2.8,2.8,2.8,15.0,15.0,15.0,10.1,19.9,10.7,1.5,20.5,2.9
Jamie Benn,,Q,W,6900,DAL,NSH,1,,,2.77,11.7,11.7,11.7,2.0,2.0,2.0,4.8,4.8,4.8,4.8,4.8,0.0,0.0,0.0,0.0
Brent Burns,2,,D,6800,SJ,@MIN,1,D2,P1,2.56,28.4,28.4,28.4,3.8,3.8,3.8,14.1,14.1,14.1,-0.1,28.4,11.0,1.6,20.0,2.9
Mathew Barzal,2,,C,6700,NYI,@NJ,2,L1,P1,3.05,18.3,18.3,18.3,2.5,2.5,2.5,14.9,14.9,14.9,-3.6,33.4,11.0,1.6,0.0,0.0
Gabriel Landeskog,2,,W,6700,COL,@ANH,1,L1,P1,3.12,17.6,17.6,17.6,3.8,3.8,3.8,17.5,17.5,17.5,6.1,29.0,11.0,1.6,6.4,1.0
Blake Wheeler,2,,W,6700,WPG,EDM,0,L1,P1,3.05,20.7,20.7,20.7,2.8,2.8,2.8,17.4,17.4,17.4,8.1,26.7,10.8,1.6,18.9,2.8
Roman Josi,2,,D,6600,NSH,@DAL,1,D1,P1,2.73,23.9,23.9,23.9,4.8,4.8,4.8,11.6,11.6,11.6,4.6,18.6,12.3,1.9,3.2,0.5
Alexander Radulov,2,,W,6500,DAL,NSH,1,L2,P1,2.77,14.0,14.0,14.0,3.0,3.0,3.0,37.8,37.8,37.8,37.8,37.8,9.2,1.4,3.2,0.5
Kris Letang,1,,D,6300,PIT,NYR,1,D1,P1,3.43,27.0,27.0,27.0,3.0,3.0,3.0,10.3,10.3,10.3,2.2,18.4,10.8,1.7,11.2,1.8
Ryan O'Reilly,1,,C,6200,STL,LA,0,L1,P1,3.13,18.3,18.3,18.3,2.0,2.0,2.0,9.1,9.1,9.1,2.8,15.3,9.9,1.6,20.0,3.2
Kevin Fiala,1,,W,6200,MIN,SJ,1,L2,P1,2.94,18.4,18.4,18.4,4.0,4.0,4.0,9.4,9.4,9.4,4.2,14.6,10.3,1.7,18.9,3.0
Nazem Kadri,1,,C,6200,COL,@ANH,1,L3,P1,3.12,15.1,15.1,15.1,2.6,2.6,2.6,8.4,8.4,8.4,-1.6,18.3,8.4,1.4,4.8,0.8
Kyle Palmieri,1,,W,6200,NJ,NYI,2,L1,P1,2.45,19.0,19.0,19.0,1.3,1.3,1.3,8.1,8.1,8.1,1.8,14.4,9.1,1.5,16.5,2.7
Tomas Hertl,2,,C,6100,SJ,@MIN,1,L2,P1,2.56,21.2,21.2,21.2,1.8,1.8,1.8,15.6,15.6,15.6,1.2,30.0,10.2,1.7,9.6,1.6
Nikolaj Ehlers,1,,W,5900,WPG,EDM,0,L2,P2,3.05,16.4,16.4,16.4,3.2,3.2,3.2,17.2,17.2,17.2,8.4,26.0,10.5,1.8,20.0,3.4
Cale Makar,1,,D,5900,COL,@ANH,1,D1,P1,3.12,20.3,20.3,20.3,1.8,1.8,1.8,12.9,12.9,12.9,2.3,23.5,10.0,1.7,3.2,0.5
Timo Meier,1,,W,5800,SJ,@MIN,1,,P2,2.56,15.7,15.7,15.7,3.0,3.0,3.0,10.6,10.6,10.6,-3.8,25.0,10.1,1.7,18.1,3.1
Zach Parise,2,,W,5800,MIN,SJ,1,L1,P1,2.94,18.0,18.0,18.0,3.2,3.2,3.2,10.4,10.4,10.4,4.7,16.1,8.7,1.5,28.5,4.9
Jaden Schwartz,1,,W,5800,STL,LA,0,L2,P1,3.13,16.6,16.6,16.6,2.4,2.4,2.4,7.8,7.8,7.8,0.7,15.0,9.0,1.6,12.8,2.2
Rickard Rakell,2,,W,5700,ANH,COL,1,L1,P1,2.38,17.6,17.6,17.6,3.4,3.4,3.4,8.0,8.0,8.0,1.1,14.9,9.2,1.6,15.2,2.7
Brock Nelson,2,,C,5700,NYI,@NJ,2,L2,P2,3.05,17.9,17.9,17.9,2.0,2.0,2.0,9.8,9.8,9.8,0.9,18.8,10.0,1.8,4.8,0.8
Miro Heiskanen,1,,D,5700,DAL,NSH,1,D2,P2,2.77,18.9,18.9,18.9,2.0,2.0,2.0,18.1,18.1,18.1,18.1,18.1,9.0,1.6,1.6,0.3
Chris Kreider,1,,W,5700,NYR,@PIT,1,L1,P1,3.07,18.9,18.9,18.9,2.0,2.0,2.0,7.5,7.5,7.5,-2.3,17.4,9.3,1.6,1.6,0.3
David Perron,2,,W,5700,STL,LA,0,L1,P1,3.13,14.8,14.8,14.8,2.2,2.2,2.2,9.9,9.9,9.9,-2.1,21.8,9.1,1.6,12.8,2.2
Jason Zucker,1,,W,5600,PIT,NYR,1,L3,P2,3.43,16.8,16.8,16.8,1.8,1.8,1.8,5.1,5.1,5.1,-1.2,11.5,8.7,1.6,0.0,0.0
Viktor Arvidsson,1,,W,5600,NSH,@DAL,1,L1,P1,2.73,17.9,17.9,17.9,3.3,3.3,3.3,13.5,13.5,13.5,5.4,21.7,8.8,1.6,24.5,4.4
Matt Duchene,1,,C,5600,NSH,@DAL,1,L2,P1,2.73,16.5,16.5,16.5,2.8,2.8,2.8,8.5,8.5,8.5,2.2,14.9,8.6,1.5,1.6,0.3
Joe Pavelski,2,,C,5600,DAL,NSH,1,L2,P1,2.77,19.6,19.6,19.6,4.0,4.0,4.0,47.9,47.9,47.9,47.9,47.9,8.1,1.4,34.3,6.1
Andre Burakovsky,,Q,W,5600,COL,@ANH,8,L2,,3.12,9.9,9.9,9.9,1.5,1.5,1.5,20.8,20.8,20.8,18.1,23.4,8.4,1.5,1.6,0.3
Kailer Yamamoto,,,W,5500,EDM,@WPG,1,L2,,3.45,16.0,14.9,14.9,1.0,1.5,1.5,13.0,14.2,14.2,6.1,22.3,9.2,1.7,20.0,3.6
