Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
David Pastrnak,2,,W,8300,BOS,@PHI,1,L1,P1,2.95,20.7,20.7,20.7,6.3,6.3,6.3,36.0,36.0,36.0,15.6,56.3,15.2,1.8,16.0,1.9
Patrice Bergeron,2,,C,8200,BOS,@PHI,1,L1,P1,2.95,18.7,18.5,18.5,3.4,4.1,4.1,24.0,22.7,22.7,8.1,37.4,12.4,1.5,1.6,0.2
Max Pacioretty,2,,W,8100,VGK,LA,7,,,3.57,18.0,17.6,17.6,4.4,4.6,4.6,18.7,19.3,19.3,4.1,34.4,0.0,0.0,37.3,4.6
Brad Marchand,2,,W,8000,BOS,@PHI,1,L1,P1,2.95,19.7,19.7,19.7,2.6,2.7,2.7,18.8,19.0,19.0,8.6,29.4,12.7,1.6,20.0,2.5
Steven Stamkos,2,,W,7900,TB,DET,1,L1,P1,3.52,18.8,17.9,17.9,2.2,2.9,2.9,12.0,17.3,17.3,5.0,29.7,13.3,1.7,9.6,1.2
Mark Stone,2,,W,7700,VGK,LA,7,L1,P1,3.57,19.1,18.8,18.8,2.4,2.1,2.1,17.4,18.5,18.5,8.3,28.7,11.6,1.5,24.8,3.2
Brayden Point,2,,C,7500,TB,DET,1,L1,P1,3.52,18.2,17.2,17.2,2.8,3.3,3.3,14.6,17.1,17.1,10.0,24.1,11.5,1.5,11.2,1.5
Aleksander Barkov,2,,C,7400,FLA,NSH,0,L1,P1,3.15,22.5,22.0,22.0,3.8,3.7,3.7,18.8,19.0,19.0,9.4,28.6,11.8,1.6,29.6,4.0
Filip Forsberg,1,,W,7300,NSH,@FLA,0,L1,P1,2.85,20.6,19.5,19.5,4.8,3.9,3.9,20.7,18.4,18.4,1.6,35.2,10.7,1.5,4.8,0.7
Logan Couture,1,,C,7300,SJ,@ANH,7,L1,P1,2.74,20.4,19.9,19.9,2.4,2.8,2.8,8.8,13.0,13.0,0.2,25.8,10.1,1.4,16.8,2.3
Dylan Larkin,,,C,7200,DET,@TB,1,L1,P1,1.98,19.6,20.9,20.9,2.4,3.2,3.2,7.8,12.6,12.6,2.8,22.4,11.1,1.5,4.8,0.7
Jonathan Huberdeau,1,,W,7200,FLA,NSH,0,L2,P1,3.15,16.9,16.4,16.4,1.6,1.4,1.4,18.6,19.0,19.0,-0.7,38.7,11.8,1.6,4.8,0.7
Anze Kopitar,1,,C,7100,LA,@VGK,2,L1,P1,2.43,21.9,22.8,22.8,1.8,2.2,2.2,14.0,15.9,15.9,4.3,27.6,10.1,1.4,11.7,1.6
Victor Hedman,2,,D,7100,TB,DET,1,D1,P1,3.52,25.8,24.4,24.4,3.4,3.1,3.1,18.7,18.0,18.0,8.0,28.0,10.7,1.5,3.2,0.5
Sean Couturier,,D,C,7000,PHI,BOS,1,,,2.55,10.1,10.1,10.1,0.5,0.5,0.5,5.6,5.6,5.6,-2.3,13.5,0.0,0.0,0.0,0.0
Kevin Hayes,,,C,6800,PHI,BOS,1,L1,P2,2.55,18.4,18.7,18.7,2.4,2.3,2.3,11.5,14.1,14.1,5.2,22.9,8.4,1.2,4.8,0.7
Alex Pietrangelo,,D,D,6700,VGK,LA,7,,,3.57,24.9,25.6,25.6,3.2,2.9,2.9,14.0,13.9,13.9,6.8,21.0,0.0,0.0,0.0,0.0
Roman Josi,1,,D,6600,NSH,@FLA,0,D1,P1,2.85,25.4,24.8,24.8,2.8,3.4,3.4,15.8,12.8,12.8,5.3,20.4,12.3,1.9,17.6,2.7
Jakub Voracek,1,,W,6600,PHI,BOS,1,L1,P1,2.55,16.1,16.1,16.1,2.4,1.6,1.6,12.6,12.4,12.4,4.7,20.1,8.6,1.3,3.2,0.5
Brent Burns,1,,D,6500,SJ,@ANH,7,D1,P1,2.74,27.5,27.5,27.5,3.0,3.3,3.3,9.1,12.1,12.1,-0.2,24.4,11.0,1.7,31.2,4.8
Evander Kane,2,,W,6400,SJ,@ANH,7,L1,P2,2.74,17.7,18.4,18.4,1.6,2.5,2.5,5.7,10.6,10.6,-2.5,23.7,10.4,1.6,30.0,4.7
Shea Theodore,2,,D,6400,VGK,LA,7,D1,P1,3.57,22.4,23.0,23.0,4.6,4.3,4.3,21.2,18.5,18.5,9.0,28.1,9.2,1.4,12.8,2.0
James van Riemsdyk,1,,W,6300,PHI,BOS,1,,,2.55,14.4,15.1,15.1,2.0,2.1,2.1,19.8,16.0,16.0,3.4,28.6,0.0,0.0,23.7,3.8
Claude Giroux,2,,W,6300,PHI,BOS,1,L1,P1,2.55,19.3,18.4,18.4,1.8,1.5,1.5,11.9,10.1,10.1,3.4,16.8,10.2,1.6,11.7,1.9
Anthony Mantha,2,,W,6200,DET,@TB,1,L2,P1,1.98,18.5,18.0,18.0,2.8,2.5,2.5,13.6,10.7,10.7,3.7,17.6,11.3,1.8,3.2,0.5
Jonathan Audy-Marchessault,1,,W,6100,VGK,LA,7,,,3.57,16.0,16.3,16.3,2.8,2.1,2.1,9.6,10.2,10.2,7.2,13.2,0.0,0.0,24.8,4.1
Viktor Arvidsson,1,,W,5900,NSH,@FLA,0,L2,P2,2.85,17.4,17.8,17.8,4.0,3.8,3.8,12.6,14.2,14.2,8.0,20.4,8.8,1.5,1.6,0.3
David Krejci,1,,C,5900,BOS,@PHI,1,L2,P2,2.95,18.2,18.3,18.3,2.0,2.0,2.0,10.8,10.8,10.8,4.1,17.5,7.7,1.3,8.0,1.4
Drew Doughty,1,,D,5800,LA,@VGK,2,D1,P1,2.43,26.3,27.4,27.4,2.6,2.0,2.0,15.3,14.0,14.0,6.2,21.8,8.3,1.4,4.8,0.8
Travis Konecny,,,W,5700,PHI,BOS,1,L2,P2,2.55,15.6,15.7,15.7,0.4,1.4,1.4,2.2,10.5,10.5,-4.8,25.8,10.3,1.8,1.6,0.3
Tomas Hertl,2,,C,5700,SJ,@ANH,7,L2,P1,2.74,19.5,20.1,20.1,1.6,1.8,1.8,5.1,12.3,12.3,0.4,24.3,10.2,1.8,1.6,0.3
Rickard Rakell,2,,W,5700,ANH,SJ,2,L3,P1,2.76,18.0,17.7,17.7,3.4,3.3,3.3,7.7,8.5,8.5,2.7,14.3,9.2,1.6,9.6,1.7
Aaron Ekblad,2,,D,5600,FLA,NSH,0,D1,P1,3.15,25.7,25.9,25.9,2.4,2.9,2.9,13.4,14.6,14.6,9.6,19.6,9.5,1.7,1.6,0.3
Timo Meier,,,W,5600,SJ,@ANH,7,L3,P2,2.74,14.3,15.0,15.0,3.8,3.1,3.1,10.0,11.1,11.1,-0.4,22.6,10.1,1.8,1.6,0.3
Patric Hornqvist,,,W,5500,FLA,NSH,0,L2,P1,3.15,15.4,15.2,15.2,4.4,3.9,3.9,15.6,19.0,19.0,12.5,25.5,9.0,1.6,4.8,0.9
Ivan Provorov,1,,D,5500,PHI,BOS,1,D1,P1,2.55,27.1,26.1,26.1,1.6,1.5,1.5,13.5,11.0,11.0,1.2,20.9,8.7,1.6,4.8,0.9
Anthony Cirelli,1,,C,5400,TB,DET,1,L2,P2,3.52,19.2,18.1,18.1,1.2,1.9,1.9,10.2,13.1,13.1,5.0,21.1,0.0,0.0,3.2,0.6
