Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Marc-Andre Fleury,,,G,8800,VGK,ANH,1,66%,2.33,47.9,47.9,47.9,0.944,0.944,20.8,20.8,20.8,8.4,33.2,20.7,2.4,0.0,0.0
Andrei Vasilevskii,,,G,8700,TB,@NSH,0,62%,2.44,60.0,60.1,60.1,0.931,0.931,23.2,22.0,22.0,13.5,30.6,21.3,2.4,0.0,0.0
Jake Oettinger,,,G,8000,DAL,CHI,1,55%,2.61,52.9,52.9,52.9,0.915,0.915,15.2,15.2,15.2,10.3,20.1,19.4,2.4,0.0,0.0
Connor Hellebuyck,,,G,7900,WPG,@CGY,4,46%,3.12,60.8,60.4,60.4,0.913,0.913,15.7,18.4,18.4,11.2,25.6,17.8,2.3,0.0,0.0
Jacob Markstrom,,,G,7600,CGY,WPG,2,54%,2.88,60.4,60.1,60.1,0.914,0.914,18.4,20.1,20.1,2.6,37.6,18.0,2.4,0.0,0.0
Sergei Bobrovsky,,,G,7500,FLA,DET,1,65%,2.35,63.1,63.1,63.1,0.879,0.879,15.8,15.8,15.8,7.1,24.5,22.4,3.0,0.0,0.0
Mikko Koskinen,,,G,7400,EDM,@OTT,0,63%,2.83,58.9,60.7,60.7,0.887,0.887,7.4,13.1,13.1,-0.3,26.4,19.8,2.7,0.0,0.0
Kevin Lankinen,,,G,7200,CHI,@DAL,1,45%,2.89,61.7,61.3,61.3,0.928,0.928,22.6,20.9,20.9,9.3,32.5,18.4,2.6,0.0,0.0
Juuse Saros,,,G,7100,NSH,TB,0,38%,3.06,52.0,54.3,54.3,0.888,0.888,3.7,12.5,12.5,-7.5,32.4,15.6,2.2,0.0,0.0
Martin Jones,,,G,6800,SJ,@LA,2,53%,2.91,43.0,46.5,46.5,0.874,0.874,12.2,11.9,11.9,-5.1,28.8,16.3,2.4,0.0,0.0
Thomas Greiss,,,G,6700,DET,@FLA,1,35%,3.15,50.3,50.8,50.8,0.900,0.900,11.7,9.5,9.5,-4.6,23.7,16.2,2.4,0.0,0.0
Jon Quick,,,G,6700,LA,SJ,1,47%,3.09,39.5,46.6,46.6,0.867,0.867,6.6,7.3,7.3,-5.9,20.6,15.7,2.3,0.0,0.0
John Gibson,,,G,6700,ANH,@VGK,2,34%,3.17,49.1,54.9,54.9,0.915,0.915,6.2,16.7,16.7,-2.1,35.6,15.6,2.3,0.0,0.0
Matthew Murray,,,G,6600,OTT,EDM,0,37%,3.67,49.0,52.6,52.6,0.883,0.883,12.0,9.3,9.3,-3.4,21.9,14.8,2.2,0.0,0.0
