"C","C","W","W","D","D","UTIL","UTIL","G","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","54733-8612:Marc-Andre Fleury","54733-8612","G","Marc-Andre","Marc-Andre Fleury","Fleury","25.5","8","8900","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-8864:Robin Lehner","54733-8864","G","Robin","Robin Lehner","Lehner","14.560000610351562","5","8900","COL@VGK","VGK","COL","DTD","Upper body","","",""
"","","","","","","","","","","54733-42782:Oscar Dansk","54733-42782","G","Oscar","Oscar Dansk","Dansk","0.800000011920929","1","8900","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-79931:Hunter Miska","54733-79931","G","Hunter","Hunter Miska","Miska","6.800000190734863","2","8400","COL@VGK","COL","VGK","O","Covid-19","","",""
"","","","","","","","","","","54733-83213:Pavel Francouz","54733-83213","G","Pavel","Pavel Francouz","Francouz","20.211765064912683","34","8400","COL@VGK","COL","VGK","IR","Lower body","","",""
"","","","","","","","","","","54733-12697:Philipp Grubauer","54733-12697","G","Philipp","Philipp Grubauer","Grubauer","22.560000610351562","10","8400","COL@VGK","COL","VGK","","","","",""
"","","","","","","","","","","54733-8718:Alex Ovechkin","54733-8718","W","Alex","Alexander Ovechkin","Ovechkin","21.466666327582466","9","8400","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-41391:Nathan MacKinnon","54733-41391","C","Nathan","Nathan MacKinnon","MacKinnon","18.454545454545453","11","8300","COL@VGK","COL","VGK","","","","",""
"","","","","","","","","","","54733-8732:Semyon Varlamov","54733-8732","G","Semyon","Semyon Varlamov","Varlamov","22.83636335893111","11","8200","NYI@BUF","NYI","BUF","","","","",""
"","","","","","","","","","","54733-97232:Ilya Sorokin","54733-97232","G","Ilya","Ilya Sorokin","Sorokin","5.066666603088379","3","8200","NYI@BUF","NYI","BUF","","","","",""
"","","","","","","","","","","54733-8893:Anton Khudobin","54733-8893","G","Anton","Anton Khudobin","Khudobin","14.971429007393974","7","8100","NSH@DAL","DAL","NSH","","","","",""
"","","","","","","","","","","54733-103202:Jake Oettinger","54733-103202","G","Jake","Jake Oettinger","Oettinger","12.800000508626303","6","8100","NSH@DAL","DAL","NSH","","","","",""
"","","","","","","","","","","54733-66556:Landon Bow","54733-66556","G","Landon","Landon Bow","Bow","0","0","8100","NSH@DAL","DAL","NSH","","","","",""
"","","","","","","","","","","54733-11301:Cam Talbot","54733-11301","G","Cam","Cam Talbot","Talbot","17.1999994913737","6","7800","MIN@LA","MIN","LA","O","Covid-19","","",""
"","","","","","","","","","","54733-8441:Max Pacioretty","54733-8441","W","Max","Max Pacioretty","Pacioretty","17.246153611403244","13","7800","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-84324:Kaapo Kahkonen","54733-84324","G","Kaapo","Kaapo Kahkonen","Kahkonen","15.199999491373697","6","7800","MIN@LA","MIN","LA","","","","",""
"","","","","","","","","","","54733-8594:Sidney Crosby","54733-8594","C","Sidney","Sidney Crosby","Crosby","14.123077392578125","13","7800","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-66737:Mikko Rantanen","54733-66737","W","Mikko","Mikko Rantanen","Rantanen","15.300000508626303","12","7700","COL@VGK","COL","VGK","","","","",""
"","","","","","","","","","","54733-62493:Artemi Panarin","54733-62493","W","Artemi","Artemi Panarin","Panarin","16.583333333333332","12","7600","NJ@NYR","NYR","NJ","O","Lower body","","",""
"","","","","","","","","","","54733-64100:Jack Eichel","54733-64100","C","Jack","Jack Eichel","Eichel","16.172726717862215","11","7600","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-74064:Casey DeSmith","54733-74064","G","Casey","Casey DeSmith","DeSmith","14.133333841959635","6","7500","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-12628:Mark Stone","54733-12628","W","Mark","Mark Stone","Stone","15.169230534480167","13","7500","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-8595:Evgeni Malkin","54733-8595","C","Evgeni","Evgeni Malkin","Malkin","9.330769465519833","13","7500","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-42868:Tristan Jarry","54733-42868","G","Tristan","Tristan Jarry","Jarry","8.300000190734863","8","7500","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-39253:Filip Forsberg","54733-39253","W","Filip","Filip Forsberg","Forsberg","16.826666259765624","15","7400","NSH@DAL","NSH","DAL","","","","",""
"","","","","","","","","","","54733-8292:Craig Anderson","54733-8292","G","Craig","Craig Anderson","Anderson","-3.200000047683716","1","7300","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-82094:Alexandar Georgiev","54733-82094","G","Alexandar","Alexandar Georgiev","Georgiev","11.519999694824218","5","7300","NJ@NYR","NYR","NJ","","","","",""
