Date,10000,3000,1500,750,500,300,Last,Games
2021-01-13,250.7,248.0,245.6,245.1,244.4,243.0,151.4,5
2021-01-14,299.2,299.2,292.3,289.6,283.0,282.7,170.6,10
2021-01-15,262.6,258.9,258.9,258.9,258.9,258.9,143.6,5
2021-01-16,229.2,224.4,224.4,218.4,217.5,217.1,134.1,8
2021-01-18,247.1,228.7,227.0,224.6,222.2,219.5,119.4,8
2021-01-19,252.6,241.7,234.8,234.4,233.8,230.5,153.4,8
2021-01-20,228.0,223.5,222.4,221.0,221.0,215.7,116.4,5
2021-01-21,267.9,254.5,251.6,245.8,245.8,241.8,139.1,6
2021-01-22,276.5,251.5,248.2,246.5,242.8,241.4,135.7,8
2021-01-23,256.8,249.9,247.9,246.4,245.9,245.6,169.7,4
2021-01-24,229.5,208.0,207.6,207.1,206.7,204.7,135.3,7
2021-01-26,287.8,271.0,260.6,259.3,246.8,245.6,136.4,13
2021-01-28,231.3,229.3,226.5,221.6,219.9,214.8,134.5,14
2021-01-30,220.1,216.9,214.4,213.2,207.8,206.6,138.0,11
2021-01-31,293.7,293.2,290.5,288.4,286.8,286.3,201.0,5
2021-02-01,221.9,220.9,219.1,216.4,215.6,214.4,139.8,5
2021-02-02,255.1,255.1,237.0,233.8,232.8,232.7,145.0,8
2021-02-04,262.3,256.6,256.4,254.6,253.0,252.7,152.4,9
2021-02-05,236.2,219.8,218.6,218.6,218.6,217.5,129.6,5
2021-02-06,238.2,238.2,232.4,231.0,230.0,228.6,155.7,4
2021-02-07,258.2,256.7,249.4,248.4,247.6,242.8,140.2,5
2021-02-08,215.0,214.5,209.9,204.9,204.1,202.0,121.3,7
2021-02-09,235.5,233.6,233.6,231.5,230.4,228.2,129.3,7
2021-02-10,165.6,165.6,164.8,162.4,162.4,160.8,113.6,2
